DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 11 , 100 , 128 , 119 , 180 , 147 , 216 , 261 , " (1,0) [0,1] " , " (3.06667,3.23333) [3,4] " , " (1,1.33333) [1,2] " , " (3.9,3.31667) [3,4] " , " (1174.92,1080.05) [3750,6500] " , " (1.76667,3.2) [1,3] " , " (423.642,437.083) [50,455] " , " (1.5,2) [1,2] " , " (2562.73,3686.12) [1000,4000] " , " (4.42,3.07) [0,7] " , " (2071.97,2120.23) [2000,2350] " , " (2,2) [1,2] " , " (18.0612,22.875) [15,30] " , " (9.45833,10.9583) [55,90] " , " (1.83333,2.28333) [2,4] " , " (1.03571,1.25) [1,2] " , " (10,10) [8,9] " , " (0.95,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (104.925,120.163) [750,4000] " , " (1.25,1) [1,2] " , " (1.5,1.75) [1,2] "
2 , 8 , 86 , 130 , 128 , 180 , 184 , 192 , 247 , " (1,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (4,3.5) [3,4] " , " (957.617,926.6) [3750,6500] " , " (1.75,2.91667) [1,3] " , " (447.842,456.325) [50,455] " , " (1.5,2) [1,2] " , " (2442.91,2814.24) [1000,4000] " , " (5.29,2.79) [0,7] " , " (2117.21,2163.41) [2000,2350] " , " (1.66667,2) [1,2] " , " (23.3047,26.7059) [15,30] " , " (12.085,11.86) [55,90] " , " (1.98529,2.18529) [2,4] " , " (1.5,1.78571) [1,2] " , " (7.9,8.4) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (163.429,206.371) [750,4000] " , " (1.75,1.5) [1,2] " , " (1.5,1.5) [1,2] "
3 , 30 , 95 , 132 , 117 , 180 , 175 , 192 , 253 , " (1,0) [0,1] " , " (3.66667,3.33333) [3,4] " , " (1.66667,1.66667) [1,2] " , " (3.6,3.9) [3,4] " , " (1001.91,906.113) [3750,6500] " , " (1.51667,1.85) [1,3] " , " (414.333,421.283) [50,455] " , " (1.5,1.5) [1,2] " , " (2171.22,2738.3) [1000,4000] " , " (6.98,4.92) [0,7] " , " (2026.44,2067.48) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (27.0795,27.2217) [15,30] " , " (12.495,15.52) [55,90] " , " (2,3) [2,4] " , " (1.78571,1.5) [1,2] " , " (8.9,9.4) [8,9] " , " (0.9,0.9) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (157.028,210.848) [750,4000] " , " (1,1.75) [1,2] " , " (1.5,1.5) [1,2] "
4 , 11 , 107 , 128 , 130 , 185 , 151 , 235 , 284 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.2,3) [3,4] " , " (912.45,929.217) [3750,6500] " , " (2.18333,1.45333) [1,3] " , " (450.85,437.517) [50,455] " , " (2,2) [1,2] " , " (2621.01,2420.42) [1000,4000] " , " (1.84,1.7) [0,7] " , " (2030.27,2118.74) [2000,2350] " , " (1,1.33333) [1,2] " , " (22.9745,29.0383) [15,30] " , " (10.2267,12.4933) [55,90] " , " (3.6,3.5) [2,4] " , " (1.03571,1.75) [1,2] " , " (8.5,8.5) [8,9] " , " (1.3,1.3) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (176.615,152.353) [750,4000] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
5 , 20 , 84 , 118 , 134 , 160 , 175 , 221 , 246 , " (0,0) [0,1] " , " (3.96667,3.63333) [3,4] " , " (2,2) [1,2] " , " (2.66667,3.66667) [3,4] " , " (1013.93,1041.88) [3750,6500] " , " (2.91667,1.35) [1,3] " , " (186.285,173.085) [50,455] " , " (2,1.5) [1,2] " , " (3246.15,3144.76) [1000,4000] " , " (3.6,4) [0,7] " , " (2233.33,2280.47) [2000,2350] " , " (1,1) [1,2] " , " (25.2017,22.3383) [15,30] " , " (9.95,12.2) [55,90] " , " (2.75,3.5) [2,4] " , " (1.5,1.5) [1,2] " , " (8.4,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (96.2933,73.4667) [750,4000] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
