DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
11 , 17 , 103 , 130 , 184 , 214 , 246 , " (0) [0,1] " , " (3.96667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (955.467) [42000,72800] " , " (1.13333) [1,3] " , " (436.543) [50,455] " , " (2) [1,2] " , " (3297.91) [1000,4000] " , " (5.9) [0,7] " , " (2101.99) [2000,2350] " , " (1) [1,2] " , " (22.4087) [15,30] " , " (8.26333) [616,1008] " , " (3.80294) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (96.1625) [8400,44800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
12 , 20 , 113 , 124 , 163 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.41667) [3,4] " , " (935.577) [42000,72800] " , " (2.96667) [1,3] " , " (183.385) [50,455] " , " (1.33333) [1,2] " , " (2309.31) [1000,4000] " , " (4.6) [0,7] " , " (2203.89) [2000,2350] " , " (1) [1,2] " , " (28.3742) [15,30] " , " (13.3527) [616,1008] " , " (3.29167) [2,4] " , " (1.5) [1,2] " , " (8.69) [8,9] " , " (1.75) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (182.764) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
13 , 66 , 96 , 122 , 137 , 192 , 272 , " (0) [0,1] " , " (3) [3,4] " , " (1) [1,2] " , " (3.75) [3,4] " , " (688.2) [42000,72800] " , " (2.51667) [1,3] " , " (243.675) [50,455] " , " (1.66667) [1,2] " , " (3287.96) [1000,4000] " , " (2.3) [0,7] " , " (2185.81) [2000,2350] " , " (1.6) [1,2] " , " (27.2194) [15,30] " , " (9.80333) [616,1008] " , " (2.01294) [2,4] " , " (1.66) [1,2] " , " (8.4) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (196.866) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
14 , 11 , 107 , 119 , 180 , 218 , 247 , " (1) [0,1] " , " (3.21667) [3,4] " , " (1.33333) [1,2] " , " (3.43333) [3,4] " , " (874.375) [42000,72800] " , " (1.28333) [1,3] " , " (416.475) [50,455] " , " (1.5) [1,2] " , " (2467.6) [1000,4000] " , " (5.77) [0,7] " , " (2012.13) [2000,2350] " , " (1) [1,2] " , " (21.2783) [15,30] " , " (9.90167) [616,1008] " , " (2.75) [2,4] " , " (1.25) [1,2] " , " (8.9) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (64.3333) [8400,44800] " , " (1) [1,2] " , " (1.75) [1,2] "
15 , 31 , 95 , 132 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1171.08) [42000,72800] " , " (2.85833) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3237.59) [1000,4000] " , " (2.68) [0,7] " , " (2172.07) [2000,2350] " , " (2) [1,2] " , " (24.1745) [15,30] " , " (11.6217) [616,1008] " , " (3.7) [2,4] " , " (1.28571) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (279.966) [8400,44800] " , " (1.75) [1,2] " , " (2) [1,2] "
16 , 20 , 99 , 117 , 175 , 235 , 260 , " (0) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (3.3) [3,4] " , " (921.177) [42000,72800] " , " (1.575) [1,3] " , " (156.133) [50,455] " , " (1.5) [1,2] " , " (2103.46) [1000,4000] " , " (3.14) [0,7] " , " (2296.41) [2000,2350] " , " (1.6) [1,2] " , " (25.3442) [15,30] " , " (12.87) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (2) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (201.09) [8400,44800] " , " (1.5) [1,2] " , " (1.66667) [1,2] "
17 , 18 , 84 , 133 , 149 , 214 , 246 , " (0) [0,1] " , " (3.8) [3,4] " , " (2) [1,2] " , " (3.41667) [3,4] " , " (956.55) [42000,72800] " , " (2.33333) [1,3] " , " (195.778) [50,455] " , " (1.71429) [1,2] " , " (3366.77) [1000,4000] " , " (5.5) [0,7] " , " (2141) [2000,2350] " , " (1) [1,2] " , " (20.6967) [15,30] " , " (10.9986) [616,1008] " , " (2) [2,4] " , " (1) [1,2] " , " (8.3) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (45.6633) [8400,44800] " , " (1.5) [1,2] " , " (1.76667) [1,2] "
18 , 11 , 112 , 130 , 153 , 231 , 288 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.76667) [3,4] " , " (576.376) [42000,72800] " , " (2.2) [1,3] " , " (421.835) [50,455] " , " (1.71429) [1,2] " , " (3206.31) [1000,4000] " , " (6.76333) [0,7] " , " (2075.34) [2000,2350] " , " (1.93333) [1,2] " , " (22.6007) [15,30] " , " (12.0619) [616,1008] " , " (2.5) [2,4] " , " (1.32143) [1,2] " , " (8.13333) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (181.588) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
19 , 66 , 86 , 121 , 184 , 192 , 247 , " (0) [0,1] " , " (3.71667) [3,4] " , " (2) [1,2] " , " (3) [3,4] " , " (884) [42000,72800] " , " (2.63333) [1,3] " , " (253.175) [50,455] " , " (2) [1,2] " , " (3171.26) [1000,4000] " , " (2.99) [0,7] " , " (2221.29) [2000,2350] " , " (1.66667) [1,2] " , " (24.8233) [15,30] " , " (11.7967) [616,1008] " , " (2.11) [2,4] " , " (1.23143) [1,2] " , " (8.8) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (175.57) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
20 , 20 , 92 , 134 , 163 , 214 , 260 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.01667) [3,4] " , " (1046.29) [42000,72800] " , " (2.68333) [1,3] " , " (266.145) [50,455] " , " (2) [1,2] " , " (1919.66) [1000,4000] " , " (6.58) [0,7] " , " (2281.57) [2000,2350] " , " (2) [1,2] " , " (26.1608) [15,30] " , " (13.63) [616,1008] " , " (3.125) [2,4] " , " (1.5) [1,2] " , " (8.15) [8,9] " , " (1.75) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (181.614) [8400,44800] " , " (2) [1,2] " , " (1.86667) [1,2] "
