DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 78 , 83 , 130 , 145 , 235 , 288 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.3) [3,4] " , " (732.71) [5250,9100] " , " (3) [1,3] " , " (149.81) [50,455] " , " (1.71429) [1,2] " , " (2962.38) [1000,4000] " , " (3.49) [0,7] " , " (2012.89) [2000,2350] " , " (1) [1,2] " , " (23.7769) [15,30] " , " (6.5619) [77,126] " , " (2.49314) [2,4] " , " (1) [1,2] " , " (8) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (114.77) [1050,5600] " , " (1) [1,2] " , " (2) [1,2] "
2 , 5 , 92 , 118 , 152 , 235 , 294 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.07143) [1,2] " , " (3.76667) [3,4] " , " (807.11) [5250,9100] " , " (2.48333) [1,3] " , " (267.537) [50,455] " , " (2) [1,2] " , " (2520.42) [1000,4000] " , " (4.26571) [0,7] " , " (2177.13) [2000,2350] " , " (1.66667) [1,2] " , " (26.8483) [15,30] " , " (14.4767) [77,126] " , " (3) [2,4] " , " (1.5) [1,2] " , " (8.75) [8,9] " , " (1.1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (201.172) [1050,5600] " , " (2) [1,2] " , " (1.2) [1,2] "
3 , 11 , 88 , 125 , 143 , 207 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1.5) [1,2] " , " (3.95) [3,4] " , " (1132.25) [5250,9100] " , " (2.57667) [1,3] " , " (453.325) [50,455] " , " (2) [1,2] " , " (3358.76) [1000,4000] " , " (2.21) [0,7] " , " (2192.16) [2000,2350] " , " (1.4) [1,2] " , " (27.9883) [15,30] " , " (13.3) [77,126] " , " (2.16667) [2,4] " , " (1.75) [1,2] " , " (8.75) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (183.638) [1050,5600] " , " (2) [1,2] " , " (1.5) [1,2] "
4 , 66 , 113 , 124 , 151 , 192 , 248 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1) [1,2] " , " (3.35) [3,4] " , " (833.9) [5250,9100] " , " (2.68667) [1,3] " , " (235.785) [50,455] " , " (1.33333) [1,2] " , " (2813.06) [1000,4000] " , " (2.27) [0,7] " , " (2159.29) [2000,2350] " , " (1) [1,2] " , " (26.8323) [15,30] " , " (12.2327) [77,126] " , " (2.49333) [2,4] " , " (1.66) [1,2] " , " (8.19) [8,9] " , " (1.15) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (132.853) [1050,5600] " , " (2) [1,2] " , " (1.6) [1,2] "
5 , 8 , 86 , 128 , 184 , 235 , 247 , " (0) [0,1] " , " (3.21667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (888.55) [5250,9100] " , " (2.91667) [1,3] " , " (452.85) [50,455] " , " (2) [1,2] " , " (2805.51) [1000,4000] " , " (3.09) [0,7] " , " (2178.48) [2000,2350] " , " (2) [1,2] " , " (26.7059) [15,30] " , " (11.86) [77,126] " , " (2.18529) [2,4] " , " (1.78571) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (206.371) [1050,5600] " , " (1.5) [1,2] " , " (1.5) [1,2] "
6 , 20 , 84 , 134 , 180 , 211 , 295 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (1136.93) [5250,9100] " , " (2.26667) [1,3] " , " (192.825) [50,455] " , " (1.5) [1,2] " , " (2751.78) [1000,4000] " , " (6.15) [0,7] " , " (2210.97) [2000,2350] " , " (1.66667) [1,2] " , " (24.8383) [15,30] " , " (11.6617) [77,126] " , " (2.16667) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (1.45) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (113.383) [1050,5600] " , " (1.75) [1,2] " , " (1.66667) [1,2] "
7 , 18 , 95 , 117 , 149 , 235 , 267 , " (0) [0,1] " , " (4) [3,4] " , " (1) [1,2] " , " (3.9) [3,4] " , " (912.233) [5250,9100] " , " (2.95) [1,3] " , " (202.41) [50,455] " , " (1.71429) [1,2] " , " (2501.3) [1000,4000] " , " (2.82) [0,7] " , " (2011.53) [2000,2350] " , " (1.83333) [1,2] " , " (22.34) [15,30] " , " (13.2686) [77,126] " , " (2) [2,4] " , " (1) [1,2] " , " (8.3) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (198.41) [1050,5600] " , " (1.75) [1,2] " , " (1.66667) [1,2] "
