DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
11 , 66 , 95 , 119 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (3.1) [3,4] " , " (742.058) [42000,72800] " , " (2.06667) [1,3] " , " (232.633) [50,455] " , " (1.5) [1,2] " , " (2575.81) [1000,4000] " , " (3.08) [0,7] " , " (2120.27) [2000,2350] " , " (1.33333) [1,2] " , " (23.7623) [15,30] " , " (11.945) [616,1008] " , " (2.66) [2,4] " , " (1.16) [1,2] " , " (8.9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (140.637) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
12 , 20 , 95 , 131 , 180 , 235 , 278 , " (1) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1018.71) [42000,72800] " , " (2.42667) [1,3] " , " (166.267) [50,455] " , " (1.5) [1,2] " , " (2364.32) [1000,4000] " , " (4.68) [0,7] " , " (2084.66) [2000,2350] " , " (1.83333) [1,2] " , " (26.0167) [15,30] " , " (10.295) [616,1008] " , " (2) [2,4] " , " (2) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (81.3783) [8400,44800] " , " (1) [1,2] " , " (1.66667) [1,2] "
13 , 17 , 87 , 117 , 149 , 214 , 260 , " (0) [0,1] " , " (3.05) [3,4] " , " (2) [1,2] " , " (3.25) [3,4] " , " (745.853) [42000,72800] " , " (2.85) [1,3] " , " (445.193) [50,455] " , " (1.71429) [1,2] " , " (3107.01) [1000,4000] " , " (4.68) [0,7] " , " (2165.82) [2000,2350] " , " (1.73333) [1,2] " , " (26.3937) [15,30] " , " (12.8119) [616,1008] " , " (3.23627) [2,4] " , " (1) [1,2] " , " (8.7) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (121.119) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
14 , 11 , 110 , 129 , 175 , 234 , 260 , " (0.3) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (4) [3,4] " , " (1142.45) [42000,72800] " , " (1.76667) [1,3] " , " (440.125) [50,455] " , " (1.5) [1,2] " , " (3730.5) [1000,4000] " , " (2.6) [0,7] " , " (2176.11) [2000,2350] " , " (1.33333) [1,2] " , " (19.8825) [15,30] " , " (14.8833) [616,1008] " , " (2.95833) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (118.422) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
15 , 29 , 96 , 134 , 152 , 235 , 248 , " (0) [0,1] " , " (3.21667) [3,4] " , " (1.07143) [1,2] " , " (3.26667) [3,4] " , " (784.45) [42000,72800] " , " (2.41667) [1,3] " , " (439.057) [50,455] " , " (1.6) [1,2] " , " (3142.26) [1000,4000] " , " (3.85571) [0,7] " , " (2084.45) [2000,2350] " , " (1.66667) [1,2] " , " (25.9833) [15,30] " , " (31.5967) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (197.488) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
16 , 66 , 95 , 119 , 175 , 192 , 274 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.33333) [1,2] " , " (3.1) [3,4] " , " (780.108) [42000,72800] " , " (2.06667) [1,3] " , " (236.108) [50,455] " , " (1.5) [1,2] " , " (2584.54) [1000,4000] " , " (2.78) [0,7] " , " (2105.2) [2000,2350] " , " (1.33333) [1,2] " , " (23.7623) [15,30] " , " (11.945) [616,1008] " , " (2.66) [2,4] " , " (1.16) [1,2] " , " (8.9) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (140.637) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
17 , 66 , 95 , 119 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (3.1) [3,4] " , " (742.058) [42000,72800] " , " (2.06667) [1,3] " , " (232.633) [50,455] " , " (1.5) [1,2] " , " (2575.81) [1000,4000] " , " (3.08) [0,7] " , " (2120.27) [2000,2350] " , " (1.33333) [1,2] " , " (23.7623) [15,30] " , " (11.945) [616,1008] " , " (2.66) [2,4] " , " (1.16) [1,2] " , " (8.9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (140.637) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
18 , 8 , 84 , 130 , 175 , 235 , 289 , " (0) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (4) [3,4] " , " (1056.97) [42000,72800] " , " (2.73333) [1,3] " , " (423.667) [50,455] " , " (1.5) [1,2] " , " (3740.6) [1000,4000] " , " (2.3) [0,7] " , " (2175.79) [2000,2350] " , " (1.70667) [1,2] " , " (23.953) [15,30] " , " (14.8) [616,1008] " , " (2.73529) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (169.696) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
19 , 11 , 105 , 131 , 152 , 217 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.40476) [1,2] " , " (3.16667) [3,4] " , " (947.75) [42000,72800] " , " (2.92) [1,3] " , " (440.492) [50,455] " , " (1) [1,2] " , " (2707.9) [1000,4000] " , " (4.50238) [0,7] " , " (2083.51) [2000,2350] " , " (1.33333) [1,2] " , " (21.2683) [15,30] " , " (12.2333) [616,1008] " , " (2.66667) [2,4] " , " (1.25) [1,2] " , " (8.75) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (135.385) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
20 , 32 , 84 , 136 , 175 , 192 , 286 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (922.333) [42000,72800] " , " (2.9) [1,3] " , " (261.392) [50,455] " , " (1.5) [1,2] " , " (3947.32) [1000,4000] " , " (5.9) [0,7] " , " (2342.07) [2000,2350] " , " (1.66667) [1,2] " , " (25.9357) [15,30] " , " (15.4717) [616,1008] " , " (3) [2,4] " , " (1.57143) [1,2] " , " (8.98333) [8,9] " , " (1.15) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (219.748) [8400,44800] " , " (1.5) [1,2] " , " (2) [1,2] "
