DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 57 , 92 , 129 , 126 , 137 , 151 , 192 , 260 , " (0,0) [0,1] " , " (3,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.85,3.26667) [3,4] " , " (944.41,928.81) [5250,9100] " , " (1.43333,1.73667) [1,3] " , " (391.42,416.787) [50,455] " , " (2,2) [1,2] " , " (2293.29,1942.65) [1000,4000] " , " (2.98,6.98) [0,7] " , " (2181.08,2115.07) [2000,2350] " , " (1,1) [1,2] " , " (28.0294,25.6007) [15,30] " , " (11.7433,12.8833) [77,126] " , " (3.63866,3.78571) [2,4] " , " (1.5,1) [1,2] " , " (8.75,8.45) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (186.516,279.508) [1050,5600] " , " (2,2) [1,2] " , " (1.2,1.2) [1,2] "
2 , 20 , 84 , 132 , 133 , 160 , 180 , 227 , 246 , " (0,1) [0,1] " , " (3.46667,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1015.23,1143.48) [5250,9100] " , " (2.91667,1.08333) [1,3] " , " (186.285,203.535) [50,455] " , " (2,1.5) [1,2] " , " (3181.24,3245.7) [1000,4000] " , " (3.4,5.7) [0,7] " , " (2272.95,2238) [2000,2350] " , " (1,1) [1,2] " , " (29.4379,23.16) [15,30] " , " (10.05,9.775) [77,126] " , " (2.91667,2.66667) [2,4] " , " (1.78571,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (88.0467,31.1917) [1050,5600] " , " (1.5,1.75) [1,2] " , " (1.76667,1.76667) [1,2] "
3 , 57 , 99 , 125 , 117 , 156 , 149 , 192 , 260 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.5,3.3) [3,4] " , " (891.8,755.943) [5250,9100] " , " (2.66667,2.30833) [1,3] " , " (282.3,318.243) [50,455] " , " (2,1.71429) [1,2] " , " (1796.15,2065.25) [1000,4000] " , " (2.8,2.84) [0,7] " , " (2174.93,2123.92) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.1457,24.2615) [15,30] " , " (11.5833,12.0619) [77,126] " , " (3.61905,3.11905) [2,4] " , " (1,1) [1,2] " , " (8.5,8.5) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (336.745,231.507) [1050,5600] " , " (1,1.5) [1,2] " , " (1,1) [1,2] "
4 , 20 , 84 , 127 , 134 , 175 , 181 , 227 , 246 , " (0,0) [0,1] " , " (3.13333,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1040.18,1168.58) [5250,9100] " , " (2.36667,1.93333) [1,3] " , " (173.085,225.835) [50,455] " , " (1.5,1.5) [1,2] " , " (3580.72,3176.2) [1000,4000] " , " (3.4,5.7) [0,7] " , " (2232.33,2242.08) [2000,2350] " , " (1,1.66667) [1,2] " , " (27.135,24.92) [15,30] " , " (12.4,10.5667) [77,126] " , " (3.66667,2.66667) [2,4] " , " (1.5,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (92.4817,104.702) [1050,5600] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
5 , 20 , 113 , 120 , 130 , 163 , 152 , 206 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1,1.07143) [1,2] " , " (3.41667,3.91667) [3,4] " , " (938.19,882.743) [5250,9100] " , " (2.42667,1.53333) [1,3] " , " (194.985,184.252) [50,455] " , " (2,1.33333) [1,2] " , " (2305.35,2376.17) [1000,4000] " , " (4.6,4.88571) [0,7] " , " (2224.95,2165.59) [2000,2350] " , " (1,1) [1,2] " , " (27.1355,24.4817) [15,30] " , " (13.5393,12.386) [77,126] " , " (3.29167,3) [2,4] " , " (1.5,1.5) [1,2] " , " (8.82333,8.19) [8,9] " , " (1.75,1.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (158.406,131.428) [1050,5600] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] "
6 , 66 , 96 , 118 , 131 , 151 , 185 , 235 , 272 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.66667,1.66667) [1,2] " , " (3.5,3.7) [3,4] " , " (664.95,682.25) [5250,9100] " , " (1.80333,1.84333) [1,3] " , " (228.6,251.4) [50,455] " , " (1,1) [1,2] " , " (2556.34,2800.04) [1000,4000] " , " (2.5,2.64) [0,7] " , " (2174.63,2125) [2000,2350] " , " (1.6,1.6) [1,2] " , " (27.3473,21.9507) [15,30] " , " (11.37,9.87) [77,126] " , " (2.16,2.26) [2,4] " , " (1.66,1.16) [1,2] " , " (8.4,8.4) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (183.207,187.448) [1050,5600] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
7 , 11 , 112 , 129 , 132 , 160 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3.16667,3.33333) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.66667,3.08333) [3,4] " , " (883.5,883.21) [5250,9100] " , " (2.53333,2.83333) [1,3] " , " (418.925,430.117) [50,455] " , " (2,2) [1,2] " , " (2938.91,3601.33) [1000,4000] " , " (4.53333,4.78333) [0,7] " , " (2157.25,2101.69) [2000,2350] " , " (1.6,1.6) [1,2] " , " (23.0033,20.8379) [15,30] " , " (10.56,11.56) [77,126] " , " (2.08333,2.28333) [2,4] " , " (1.25,1.03571) [1,2] " , " (9,8.5) [8,9] " , " (1.95,2) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (142.478,128.962) [1050,5600] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
