DIA , DESAYUNO , COLACION_MATUTINA , COMIDA_ENTRADA , COMIDA_ENTRADA , COMIDA_PRINCIPAL , COMIDA_PRINCIPAL , COLACION_VESPERTINA , CENA 
1 , 46 , 110 , 123 , 118 , 152 , 181 , 215 , 290
2 , 18 , 84 , 128 , 134 , 143 , 175 , 191 , 271
3 , 64 , 91 , 124 , 133 , 151 , 173 , 189 , 244
4 , 53 , 100 , 136 , 121 , 147 , 179 , 227 , 264
5 , 57 , 108 , 127 , 125 , 162 , 175 , 205 , 295
6 , 28 , 90 , 135 , 122 , 148 , 167 , 213 , 268
7 , 53 , 86 , 121 , 125 , 138 , 178 , 202 , 242
