DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
0--10.4452 , 31 , 95 , 118 , 145 , 235 , 242 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1244.73) [750,1300] " , " (2.85833) [1,3] " , " (190.143) [50,455] " , " (1.35) [1,2] " , " (3534.81) [1000,4000] " , " (2.58) [0,7] " , " (2206.78) [2000,2350] " , " (2) [1,2] " , " (22.0717) [15,30] " , " (11.9217) [11,18] " , " (3.2) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (283.646) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 125 , 145 , 235 , 242 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1245.63) [750,1300] " , " (2.95833) [1,3] " , " (190.143) [50,455] " , " (1.35) [1,2] " , " (3301.74) [1000,4000] " , " (2.58) [0,7] " , " (2206.68) [2000,2350] " , " (2) [1,2] " , " (21.6517) [15,30] " , " (11.5217) [11,18] " , " (3.2) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (285.366) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 129 , 145 , 235 , 242 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1269.93) [750,1300] " , " (2.575) [1,3] " , " (190.143) [50,455] " , " (1.35) [1,2] " , " (3534.21) [1000,4000] " , " (2.58) [0,7] " , " (2217.62) [2000,2350] " , " (2) [1,2] " , " (24.955) [15,30] " , " (11.7217) [11,18] " , " (3.2) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (267.467) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 131 , 145 , 235 , 242 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1269.93) [750,1300] " , " (2.585) [1,3] " , " (190.143) [50,455] " , " (1.35) [1,2] " , " (3534.11) [1000,4000] " , " (2.58) [0,7] " , " (2216.85) [2000,2350] " , " (2) [1,2] " , " (24.955) [15,30] " , " (11.7217) [11,18] " , " (3.2) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (267.467) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 132 , 145 , 235 , 242 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1242.63) [750,1300] " , " (2.85833) [1,3] " , " (190.143) [50,455] " , " (1.35) [1,2] " , " (3304.19) [1000,4000] " , " (2.58) [0,7] " , " (2207.07) [2000,2350] " , " (2) [1,2] " , " (23.4745) [15,30] " , " (11.6217) [11,18] " , " (3.2) [2,4] " , " (1.28571) [1,2] " , " (8.5) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (273.416) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 31 , 95 , 133 , 145 , 235 , 242 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1245.63) [750,1300] " , " (2.95833) [1,3] " , " (190.143) [50,455] " , " (1.35) [1,2] " , " (3534.01) [1000,4000] " , " (2.58) [0,7] " , " (2205.58) [2000,2350] " , " (2) [1,2] " , " (21.6217) [15,30] " , " (11.5217) [11,18] " , " (3.2) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (278.386) [150,800] " , " (1.75) [1,2] " , " (2) [1,2] "
0--10.4452 , 78 , 83 , 130 , 145 , 192 , 243 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.2) [3,4] " , " (983.617) [750,1300] " , " (2.93333) [1,3] " , " (189.942) [50,455] " , " (2) [1,2] " , " (2986.21) [1000,4000] " , " (2.76) [0,7] " , " (2086.37) [2000,2350] " , " (1.66667) [1,2] " , " (24.1252) [15,30] " , " (8.4) [11,18] " , " (3.49314) [2,4] " , " (1) [1,2] " , " (8.5) [8,9] " , " (1.65) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (151.522) [150,800] " , " (1) [1,2] " , " (2) [1,2] "
0--10.4452 , 20 , 95 , 119 , 177 , 235 , 243 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (1307.15) [750,1300] " , " (2.9) [1,3] " , " (188.167) [50,455] " , " (2) [1,2] " , " (1914.33) [1000,4000] " , " (5.18) [0,7] " , " (2106.57) [2000,2350] " , " (2) [1,2] " , " (27.725) [15,30] " , " (10.9767) [11,18] " , " (2) [2,4] " , " (2) [1,2] " , " (8.05) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.955) [150,800] " , " (1.5) [1,2] " , " (1.91667) [1,2] "
0--10.4452 , 20 , 86 , 130 , 181 , 193 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1.33333) [1,2] " , " (3.56667) [3,4] " , " (1045.04) [750,1300] " , " (2) [1,3] " , " (211.852) [50,455] " , " (1.5) [1,2] " , " (2344.7) [1000,4000] " , " (6.82) [0,7] " , " (2115.98) [2000,2350] " , " (1) [1,2] " , " (26.49) [15,30] " , " (10.4433) [11,18] " , " (2) [2,4] " , " (1.5) [1,2] " , " (8.6) [8,9] " , " (1.85) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (191.175) [150,800] " , " (1) [1,2] " , " (1.76667) [1,2] "
0--10.4452 , 25 , 84 , 119 , 175 , 206 , 246 , " (0) [0,1] " , " (3.13333) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (861.258) [750,1300] " , " (1.35) [1,3] " , " (451.46) [50,455] " , " (1.5) [1,2] " , " (3843.74) [1000,4000] " , " (4.1) [0,7] " , " (2227.9) [2000,2350] " , " (1.66667) [1,2] " , " (28.7417) [15,30] " , " (12.7383) [11,18] " , " (3.68333) [2,4] " , " (2) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (59.1017) [150,800] " , " (1.5) [1,2] " , " (1.85) [1,2] "
0--10.4452 , 25 , 84 , 124 , 175 , 206 , 246 , " (0) [0,1] " , " (3.13333) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (857.883) [750,1300] " , " (2.26667) [1,3] " , " (431.96) [50,455] " , " (1.5) [1,2] " , " (3756.76) [1000,4000] " , " (3.4) [0,7] " , " (2138.9) [2000,2350] " , " (1.66667) [1,2] " , " (26.975) [15,30] " , " (12.5133) [11,18] " , " (3.68333) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (107.893) [150,800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
0--10.4452 , 25 , 84 , 127 , 175 , 206 , 246 , " (0) [0,1] " , " (3.13333) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (857.883) [750,1300] " , " (2.76667) [1,3] " , " (431.96) [50,455] " , " (1.5) [1,2] " , " (3775.84) [1000,4000] " , " (3.4) [0,7] " , " (2155.3) [2000,2350] " , " (1.66667) [1,2] " , " (27.725) [15,30] " , " (12.5133) [11,18] " , " (3.68333) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (94.9933) [150,800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
0--10.4452 , 25 , 84 , 128 , 175 , 206 , 246 , " (0) [0,1] " , " (3.13333) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (857.883) [750,1300] " , " (1.86667) [1,3] " , " (431.96) [50,455] " , " (1.5) [1,2] " , " (3778.14) [1000,4000] " , " (3.4) [0,7] " , " (2168.09) [2000,2350] " , " (1.66667) [1,2] " , " (27.6679) [15,30] " , " (12.5133) [11,18] " , " (3.68333) [2,4] " , " (1.78571) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (86.2233) [150,800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
0--10.4452 , 25 , 84 , 130 , 175 , 206 , 246 , " (0) [0,1] " , " (3.13333) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (866.75) [750,1300] " , " (1.45) [1,3] " , " (441.427) [50,455] " , " (1.5) [1,2] " , " (3821.95) [1000,4000] " , " (3.4) [0,7] " , " (2196.87) [2000,2350] " , " (2) [1,2] " , " (25.4517) [15,30] " , " (13.48) [11,18] " , " (3.68333) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (82.3817) [150,800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
