DIA , DESAYUNO , COLACION_MATUTINA , COMIDA_ENTRADA , COMIDA_ENTRADA , COMIDA_PRINCIPAL , COMIDA_PRINCIPAL , COLACION_VESPERTINA , CENA 
1 , 78 , 107 , 119 , 119 , 152 , 184 , 235 , 294
2 , 8 , 95 , 130 , 117 , 153 , 180 , 192 , 240
