DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 78 , 83 , 117 , 145 , 192 , 284 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.5) [3,4] " , " (1083.75) [5250,9100] " , " (2.91667) [1,3] " , " (208.475) [50,455] " , " (2) [1,2] " , " (2925.55) [1000,4000] " , " (3) [0,7] " , " (2185.05) [2000,2350] " , " (1.66667) [1,2] " , " (24.6869) [15,30] " , " (9.52667) [77,126] " , " (3.49314) [2,4] " , " (1) [1,2] " , " (9) [8,9] " , " (1.65) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (134.96) [1050,5600] " , " (2) [1,2] " , " (2) [1,2] "
2 , 5 , 92 , 118 , 152 , 235 , 294 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.07143) [1,2] " , " (3.76667) [3,4] " , " (807.11) [5250,9100] " , " (2.48333) [1,3] " , " (267.537) [50,455] " , " (2) [1,2] " , " (2520.42) [1000,4000] " , " (4.26571) [0,7] " , " (2177.13) [2000,2350] " , " (1.66667) [1,2] " , " (26.8483) [15,30] " , " (14.4767) [77,126] " , " (3) [2,4] " , " (1.5) [1,2] " , " (8.75) [8,9] " , " (1.1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (201.172) [1050,5600] " , " (2) [1,2] " , " (1.2) [1,2] "
3 , 11 , 88 , 125 , 143 , 207 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1.5) [1,2] " , " (3.95) [3,4] " , " (1132.25) [5250,9100] " , " (2.57667) [1,3] " , " (453.325) [50,455] " , " (2) [1,2] " , " (3358.76) [1000,4000] " , " (2.21) [0,7] " , " (2192.16) [2000,2350] " , " (1.4) [1,2] " , " (27.9883) [15,30] " , " (13.3) [77,126] " , " (2.16667) [2,4] " , " (1.75) [1,2] " , " (8.75) [8,9] " , " (1.95) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (183.638) [1050,5600] " , " (2) [1,2] " , " (1.5) [1,2] "
4 , 66 , 110 , 129 , 153 , 198 , 259 , " (0.3) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (1091.63) [5250,9100] " , " (2.81667) [1,3] " , " (288.41) [50,455] " , " (1.5) [1,2] " , " (3589.27) [1000,4000] " , " (4.8) [0,7] " , " (2321.9) [2000,2350] " , " (1.33333) [1,2] " , " (27.7868) [15,30] " , " (14.9733) [77,126] " , " (2.51294) [2,4] " , " (1.73143) [1,2] " , " (8.6) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (257.844) [1050,5600] " , " (2) [1,2] " , " (1.6) [1,2] "
5 , 31 , 107 , 131 , 184 , 214 , 280 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.7) [3,4] " , " (1189.9) [5250,9100] " , " (1.70167) [1,3] " , " (269) [50,455] " , " (2) [1,2] " , " (3972.63) [1000,4000] " , " (3.86) [0,7] " , " (2221.13) [2000,2350] " , " (1.33333) [1,2] " , " (23.015) [15,30] " , " (11.3) [77,126] " , " (3.2) [2,4] " , " (1.25) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (187.229) [1050,5600] " , " (2) [1,2] " , " (2) [1,2] "
6 , 20 , 84 , 133 , 180 , 211 , 295 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (1136.93) [5250,9100] " , " (2.16667) [1,3] " , " (192.825) [50,455] " , " (1.5) [1,2] " , " (2984.18) [1000,4000] " , " (6.15) [0,7] " , " (2208.07) [2000,2350] " , " (1.66667) [1,2] " , " (24.6683) [15,30] " , " (11.6617) [77,126] " , " (2.16667) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (1.45) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (104.033) [1050,5600] " , " (1.75) [1,2] " , " (1.66667) [1,2] "
7 , 18 , 99 , 135 , 156 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (916.657) [5250,9100] " , " (2.78333) [1,3] " , " (149.175) [50,455] " , " (2) [1,2] " , " (1974.13) [1000,4000] " , " (6.7) [0,7] " , " (2124.57) [2000,2350] " , " (1.6) [1,2] " , " (29.17) [15,30] " , " (11.59) [77,126] " , " (2.33333) [2,4] " , " (1) [1,2] " , " (8.8) [8,9] " , " (1.75) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (299.087) [1050,5600] " , " (1) [1,2] " , " (1.66667) [1,2] "
