DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 60 , 88 , 128 , 180 , 216 , 280 , " (1) [0,1] " , " (3.06667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (1215.75) [15000,26000] " , " (2.71667) [1,3] " , " (231.85) [50,455] " , " (1.5) [1,2] " , " (3284.22) [1000,4000] " , " (4.42) [0,7] " , " (2168.37) [2000,2350] " , " (1.06667) [1,2] " , " (20.0845) [15,30] " , " (11.0417) [220,360] " , " (2.33333) [2,4] " , " (1.03571) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (190.807) [3000,16000] " , " (1.25) [1,2] " , " (2) [1,2] "
2 , 66 , 96 , 123 , 137 , 192 , 254 , " (0) [0,1] " , " (3.5) [3,4] " , " (1) [1,2] " , " (3.91667) [3,4] " , " (951.7) [15000,26000] " , " (2.61667) [1,3] " , " (267.242) [50,455] " , " (2) [1,2] " , " (2456.75) [1000,4000] " , " (6.85) [0,7] " , " (2192.18) [2000,2350] " , " (1) [1,2] " , " (28.9177) [15,30] " , " (11.11) [220,360] " , " (2.52961) [2,4] " , " (1.66) [1,2] " , " (8.6) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (176.694) [3000,16000] " , " (2) [1,2] " , " (1.5) [1,2] "
3 , 20 , 113 , 122 , 163 , 235 , 260 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.41667) [3,4] " , " (987.927) [15000,26000] " , " (2.46667) [1,3] " , " (203.11) [50,455] " , " (2) [1,2] " , " (2892.97) [1000,4000] " , " (5.1) [0,7] " , " (2320.01) [2000,2350] " , " (1) [1,2] " , " (25.1642) [15,30] " , " (13.186) [220,360] " , " (3.29167) [2,4] " , " (1.5) [1,2] " , " (8.19) [8,9] " , " (2) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (144.674) [3000,16000] " , " (2) [1,2] " , " (1.76667) [1,2] "
4 , 11 , 88 , 118 , 143 , 231 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (1) [1,2] " , " (3.95) [3,4] " , " (900.967) [15000,26000] " , " (2.47667) [1,3] " , " (430.125) [50,455] " , " (2) [1,2] " , " (3460.5) [1000,4000] " , " (1.96) [0,7] " , " (2086.56) [2000,2350] " , " (1.4) [1,2] " , " (29.8417) [15,30] " , " (12.3667) [220,360] " , " (3.16667) [2,4] " , " (1.75) [1,2] " , " (8.33333) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (161.718) [3000,16000] " , " (2) [1,2] " , " (1.5) [1,2] "
5 , 32 , 84 , 136 , 175 , 192 , 286 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (922.333) [15000,26000] " , " (2.9) [1,3] " , " (261.392) [50,455] " , " (1.5) [1,2] " , " (3947.32) [1000,4000] " , " (5.9) [0,7] " , " (2342.07) [2000,2350] " , " (1.66667) [1,2] " , " (25.9357) [15,30] " , " (15.4717) [220,360] " , " (3) [2,4] " , " (1.57143) [1,2] " , " (8.98333) [8,9] " , " (1.15) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (219.748) [3000,16000] " , " (1.5) [1,2] " , " (2) [1,2] "
6 , 20 , 95 , 117 , 180 , 210 , 267 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.14286) [1,2] " , " (3.9) [3,4] " , " (1178.78) [15000,26000] " , " (1.7) [1,3] " , " (229.242) [50,455] " , " (1.5) [1,2] " , " (2162.02) [1000,4000] " , " (5.39143) [0,7] " , " (2145.6) [2000,2350] " , " (1.83333) [1,2] " , " (25.8764) [15,30] " , " (12.695) [220,360] " , " (2.40196) [2,4] " , " (1.5) [1,2] " , " (8.65) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (204.351) [3000,16000] " , " (2) [1,2] " , " (1.66667) [1,2] "
7 , 17 , 103 , 130 , 184 , 214 , 246 , " (0) [0,1] " , " (3.96667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (955.467) [15000,26000] " , " (1.13333) [1,3] " , " (436.543) [50,455] " , " (2) [1,2] " , " (3297.91) [1000,4000] " , " (5.9) [0,7] " , " (2101.99) [2000,2350] " , " (1) [1,2] " , " (22.4087) [15,30] " , " (8.26333) [220,360] " , " (3.80294) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (96.1625) [3000,16000] " , " (1.5) [1,2] " , " (1.6) [1,2] "
8 , 78 , 83 , 130 , 145 , 235 , 288 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.3) [3,4] " , " (732.71) [15000,26000] " , " (3) [1,3] " , " (149.81) [50,455] " , " (1.71429) [1,2] " , " (2962.38) [1000,4000] " , " (3.49) [0,7] " , " (2012.89) [2000,2350] " , " (1) [1,2] " , " (23.7769) [15,30] " , " (6.5619) [220,360] " , " (2.49314) [2,4] " , " (1) [1,2] " , " (8) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (114.77) [3000,16000] " , " (1) [1,2] " , " (2) [1,2] "
9 , 11 , 107 , 119 , 180 , 218 , 247 , " (1) [0,1] " , " (3.21667) [3,4] " , " (1.33333) [1,2] " , " (3.43333) [3,4] " , " (874.375) [15000,26000] " , " (1.28333) [1,3] " , " (416.475) [50,455] " , " (1.5) [1,2] " , " (2467.6) [1000,4000] " , " (5.77) [0,7] " , " (2012.13) [2000,2350] " , " (1) [1,2] " , " (21.2783) [15,30] " , " (9.90167) [220,360] " , " (2.75) [2,4] " , " (1.25) [1,2] " , " (8.9) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (64.3333) [3000,16000] " , " (1) [1,2] " , " (1.75) [1,2] "
10 , 11 , 107 , 126 , 151 , 234 , 275 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.76667) [3,4] " , " (775.4) [15000,26000] " , " (2.10333) [1,3] " , " (445.292) [50,455] " , " (2) [1,2] " , " (2863.84) [1000,4000] " , " (5.74) [0,7] " , " (2123.9) [2000,2350] " , " (1) [1,2] " , " (29.7908) [15,30] " , " (12.0667) [220,360] " , " (3.625) [2,4] " , " (1.75) [1,2] " , " (8.7) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (202.738) [3000,16000] " , " (2) [1,2] " , " (1.5) [1,2] "
