DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 72 , 93 , 119 , 122 , 145 , 141 , 232 , 250 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (0.333333,0) [1,2] " , " (2.95,4.7) [3,4] " , " (850.003,842.528) [3000,5200] " , " (4.33333,5.15) [1,3] " , " (249.808,266.408) [50,455] " , " (1.5,5.16667) [1,2] " , " (3712.65,4510.61) [1000,4000] " , " (4.66,4.96) [0,7] " , " (2459.4,2578.61) [2000,2350] " , " (4.66667,4.66667) [1,2] " , " (40.7423,45.7257) [15,30] " , " (10.6083,11.7167) [44,72] " , " (4.01,4.47667) [2,4] " , " (2.5,2.5) [1,2] " , " (8.45,9.45) [8,9] " , " (1.15,1.15) [1,2] " , " (1.2,1.2) [2,3] " , " (0,0) [0,1] " , " (189.057,222.605) [600,3200] " , " (0,0) [1,2] " , " (2.25,0) [1,2] "
2 , 21 , 104 , 119 , 121 , 146 , 155 , 192 , 243 , " (0,0) [0,1] " , " (4.16667,4.16667) [3,4] " , " (1.66667,1.33333) [1,2] " , " (4.33333,4.33333) [3,4] " , " (879.808,878.833) [3000,5200] " , " (3.58333,3.93333) [1,3] " , " (414.187,420.687) [50,455] " , " (2,2) [1,2] " , " (3089.98,3019.02) [1000,4000] " , " (7.5,6.8) [0,7] " , " (2269.55,2262.72) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (35.4717,37.3193) [15,30] " , " (11.285,11.56) [44,72] " , " (5.5,4.5) [2,4] " , " (2,2.07143) [1,2] " , " (10.5,10.5) [8,9] " , " (0.6,0.6) [1,2] " , " (0,0) [2,3] " , " (0,0) [0,1] " , " (299.548,299.03) [600,3200] " , " (2,3) [1,2] " , " (1.45,1.2) [1,2] "
3 , 52 , 100 , 125 , 128 , 149 , 175 , 214 , 240 , " (0,0) [0,1] " , " (2,2.33333) [3,4] " , " (1,1) [1,2] " , " (6.2,6.2) [3,4] " , " (711.61,727.317) [3000,5200] " , " (2.71667,1.9) [1,3] " , " (120.76,109.017) [50,455] " , " (1.71429,1.5) [1,2] " , " (1522.4,1696.83) [1000,4000] " , " (7.36,7.36) [0,7] " , " (1684.95,1618.64) [2000,2350] " , " (2,2) [1,2] " , " (18.2917,13.7295) [15,30] " , " (8.2619,9.98333) [44,72] " , " (1.5,2.5) [2,4] " , " (1,0.285714) [1,2] " , " (10.5,10) [8,9] " , " (0,0) [1,2] " , " (0,0) [2,3] " , " (0,0) [0,1] " , " (96.2033,132.538) [600,3200] " , " (1,1) [1,2] " , " (0,0) [1,2] "
4 , 26 , 88 , 117 , 120 , 159 , 187 , 193 , 239 , " (0,0) [0,1] " , " (2.16667,2.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.85,4.21667) [3,4] " , " (557.308,627.293) [3000,5200] " , " (2.75,4.04333) [1,3] " , " (161.442,202.797) [50,455] " , " (3.33333,7) [1,2] " , " (2416.79,2943.17) [1000,4000] " , " (4.54,5.91) [0,7] " , " (1967.6,1916.21) [2000,2350] " , " (0.4,0.4) [1,2] " , " (34.4467,30.9113) [15,30] " , " (10.8517,12.1533) [44,72] " , " (2,2) [2,4] " , " (2.5,1.5) [1,2] " , " (12.2,12.9333) [8,9] " , " (0,0.2) [1,2] " , " (0,0) [2,3] " , " (0,0) [0,1] " , " (234.758,328.102) [600,3200] " , " (1.5,0.5) [1,2] " , " (2.08333,0) [1,2] "
