DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
11 , 11 , 107 , 121 , 133 , 185 , 151 , 235 , 284 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.2,4) [3,4] " , " (1.91667,1.65333) [1,3] " , " (450.85,428.05) [50,455] " , " (2,2) [1,2] " , " (2581.75,2336.45) [1000,4000] " , " (1.84,2.1) [0,7] " , " (2060.21,2161.74) [2000,2350] " , " (1,1) [1,2] " , " (26.9426,29.1783) [15,30] " , " (3.6,3.5) [2,4] " , " (1.32143,1.75) [1,2] " , " (8.5,9) [8,9] " , " (1.3,1.3) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
12 , 20 , 84 , 132 , 128 , 181 , 175 , 227 , 246 , " (0,0) [0,1] " , " (3.46667,3.13333) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1.73333,1.46667) [1,3] " , " (225.835,173.085) [50,455] " , " (1.5,1.5) [1,2] " , " (3178.78,3583.02) [1000,4000] " , " (5.7,3.4) [0,7] " , " (2240.67,2245.12) [2000,2350] " , " (1.66667,1) [1,2] " , " (26.6029,27.0779) [15,30] " , " (2.66667,3.66667) [2,4] " , " (1.78571,1.78571) [1,2] " , " (8.4,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
13 , 20 , 113 , 130 , 124 , 152 , 163 , 206 , 260 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.07143,1) [1,2] " , " (3.91667,3.41667) [3,4] " , " (1.53333,2.96667) [1,3] " , " (184.252,183.385) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2376.17,2309.31) [1000,4000] " , " (4.88571,4.6) [0,7] " , " (2165.59,2203.89) [2000,2350] " , " (1,1) [1,2] " , " (24.4817,28.3742) [15,30] " , " (3,3.29167) [2,4] " , " (1.5,1.5) [1,2] " , " (8.19,8.69) [8,9] " , " (1.75,1.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] "
14 , 66 , 96 , 131 , 122 , 185 , 137 , 192 , 272 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1,1) [1,2] " , " (3.7,3.75) [3,4] " , " (1.84333,2.51667) [1,3] " , " (254.875,243.675) [50,455] " , " (1,1.66667) [1,2] " , " (2808.78,3287.96) [1000,4000] " , " (2.34,2.3) [0,7] " , " (2109.93,2185.81) [2000,2350] " , " (1.6,1.6) [1,2] " , " (21.9507,27.2194) [15,30] " , " (2.26,2.01294) [2,4] " , " (1.16,1.66) [1,2] " , " (8.4,8.4) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
15 , 11 , 112 , 134 , 129 , 143 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3.16667,3.33333) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.16667,3.08333) [3,4] " , " (2.47667,2.55) [1,3] " , " (418.925,430.117) [50,455] " , " (2,2) [1,2] " , " (2939.73,3831.35) [1000,4000] " , " (4.33333,4.78333) [0,7] " , " (2211.25,2112.23) [2000,2350] " , " (1.6,1.6) [1,2] " , " (29.7183,22.3183) [15,30] " , " (2.5,2.28333) [2,4] " , " (1.75,1.25) [1,2] " , " (9,8.5) [8,9] " , " (1.95,2) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
16 , 20 , 84 , 133 , 127 , 180 , 175 , 227 , 246 , " (1,0) [0,1] " , " (3.46667,3.13333) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1.08333,2.36667) [1,3] " , " (203.535,173.085) [50,455] " , " (1.5,1.5) [1,2] " , " (3245.7,3580.72) [1000,4000] " , " (5.7,3.4) [0,7] " , " (2238,2232.33) [2000,2350] " , " (1,1) [1,2] " , " (23.16,27.135) [15,30] " , " (2.66667,3.66667) [2,4] " , " (1.5,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (1.75,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
17 , 57 , 99 , 117 , 132 , 149 , 156 , 192 , 260 , " (0,0) [0,1] " , " (3,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.3,3.5) [3,4] " , " (2.30833,2.56667) [1,3] " , " (318.243,282.3) [50,455] " , " (1.71429,2) [1,2] " , " (2065.25,1798.6) [1000,4000] " , " (2.84,2.8) [0,7] " , " (2123.92,2175.31) [2000,2350] " , " (1.6,1.6) [1,2] " , " (24.2615,28.9686) [15,30] " , " (3.11905,3.61905) [2,4] " , " (1,1.28571) [1,2] " , " (8.5,8) [8,9] " , " (1.4,1.4) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (1.5,1) [1,2] " , " (1,1) [1,2] "
18 , 11 , 107 , 126 , 130 , 151 , 137 , 234 , 275 , " (0,0) [0,1] " , " (3.66667,3) [3,4] " , " (1,1) [1,2] " , " (3.76667,3.35) [3,4] " , " (2.10333,1.98333) [1,3] " , " (445.292,429.392) [50,455] " , " (2,2) [1,2] " , " (2863.84,3298.25) [1000,4000] " , " (5.74,1.34) [0,7] " , " (2123.9,2134.88) [2000,2350] " , " (1,1.33333) [1,2] " , " (29.7908,28.7462) [15,30] " , " (3.625,3.47794) [2,4] " , " (1.75,1.75) [1,2] " , " (8.7,9) [8,9] " , " (1.05,1.05) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
19 , 11 , 112 , 125 , 131 , 143 , 147 , 193 , 260 , " (0,0) [0,1] " , " (3.16667,3.33333) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.16667,3.08333) [3,4] " , " (2.37667,2.56) [1,3] " , " (418.925,430.117) [50,455] " , " (2,2) [1,2] " , " (2939.87,3831.25) [1000,4000] " , " (4.33333,4.78333) [0,7] " , " (2209.45,2111.46) [2000,2350] " , " (1.6,1.6) [1,2] " , " (29.5783,22.3183) [15,30] " , " (2.5,2.28333) [2,4] " , " (1.75,1.25) [1,2] " , " (9,8.5) [8,9] " , " (1.95,2) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
20 , 20 , 84 , 128 , 118 , 175 , 181 , 227 , 246 , " (0,0) [0,1] " , " (3.13333,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1.46667,1.73333) [1,3] " , " (173.085,225.835) [50,455] " , " (1.5,1.5) [1,2] " , " (3583.02,3409.4) [1000,4000] " , " (3.4,5.7) [0,7] " , " (2245.12,2240.38) [2000,2350] " , " (1,1.66667) [1,2] " , " (27.0779,25.2) [15,30] " , " (3.66667,2.66667) [2,4] " , " (1.78571,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
21 , 11 , 107 , 121 , 134 , 185 , 151 , 235 , 284 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.2,4) [3,4] " , " (1.91667,1.75333) [1,3] " , " (450.85,428.05) [50,455] " , " (2,2) [1,2] " , " (2581.75,2104.05) [1000,4000] " , " (1.84,2.1) [0,7] " , " (2060.21,2164.64) [2000,2350] " , " (1,1) [1,2] " , " (26.9426,29.3483) [15,30] " , " (3.6,3.5) [2,4] " , " (1.32143,1.75) [1,2] " , " (8.5,9) [8,9] " , " (1.3,1.3) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
