DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
11 , 11 , 88 , 118 , 143 , 230 , 283 , " (0) [0,1] " , " (3.06667) [3,4] " , " (2) [1,2] " , " (3.95) [3,4] " , " (981) [42000,72800] " , " (2.47667) [1,3] " , " (438.825) [50,455] " , " (2) [1,2] " , " (3469.2) [1000,4000] " , " (2.56) [0,7] " , " (2143.88) [2000,2350] " , " (1.4) [1,2] " , " (29.8809) [15,30] " , " (12.2) [616,1008] " , " (2.62745) [2,4] " , " (1.75) [1,2] " , " (8) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (170.247) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
12 , 66 , 92 , 129 , 185 , 235 , 295 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.66667) [1,2] " , " (3.46667) [3,4] " , " (912.26) [42000,72800] " , " (2.51667) [1,3] " , " (330.487) [50,455] " , " (2) [1,2] " , " (2881.27) [1000,4000] " , " (5.17) [0,7] " , " (2203.6) [2000,2350] " , " (1.66667) [1,2] " , " (25.974) [15,30] " , " (11.8467) [616,1008] " , " (3.09333) [2,4] " , " (1.16) [1,2] " , " (8.15) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (201.11) [8400,44800] " , " (2) [1,2] " , " (1.7) [1,2] "
13 , 31 , 96 , 131 , 145 , 214 , 267 , " (0.333333) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.75) [3,4] " , " (1151.85) [42000,72800] " , " (2.15167) [1,3] " , " (179.7) [50,455] " , " (1) [1,2] " , " (3100.73) [1000,4000] " , " (4.1) [0,7] " , " (2148.8) [2000,2350] " , " (1.16667) [1,2] " , " (26.6117) [15,30] " , " (12.0167) [616,1008] " , " (3.2) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (327.741) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
14 , 20 , 84 , 132 , 160 , 227 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (1015.23) [42000,72800] " , " (2.91667) [1,3] " , " (186.285) [50,455] " , " (2) [1,2] " , " (3181.24) [1000,4000] " , " (3.4) [0,7] " , " (2272.95) [2000,2350] " , " (1) [1,2] " , " (29.4379) [15,30] " , " (10.05) [616,1008] " , " (2.91667) [2,4] " , " (1.78571) [1,2] " , " (8.9) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (88.0467) [8400,44800] " , " (1.5) [1,2] " , " (1.76667) [1,2] "
15 , 8 , 95 , 119 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (784.658) [42000,72800] " , " (2.08333) [1,3] " , " (435.783) [50,455] " , " (1.5) [1,2] " , " (2179.53) [1000,4000] " , " (2.88) [0,7] " , " (2092.33) [2000,2350] " , " (1.66667) [1,2] " , " (29.613) [15,30] " , " (12.0083) [616,1008] " , " (2.73529) [2,4] " , " (2) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (150.476) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
16 , 11 , 111 , 124 , 151 , 235 , 277 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (4) [3,4] " , " (892.73) [42000,72800] " , " (2.58667) [1,3] " , " (443.66) [50,455] " , " (1) [1,2] " , " (2892.11) [1000,4000] " , " (2.3) [0,7] " , " (2044.11) [2000,2350] " , " (1.33333) [1,2] " , " (29.6917) [15,30] " , " (12.2633) [616,1008] " , " (2.16667) [2,4] " , " (1.75) [1,2] " , " (8.25) [8,9] " , " (1.2) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (294.932) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
17 , 57 , 99 , 130 , 156 , 214 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.25) [3,4] " , " (785.967) [42000,72800] " , " (2.46667) [1,3] " , " (291.117) [50,455] " , " (2) [1,2] " , " (2049.5) [1000,4000] " , " (4.7) [0,7] " , " (2129.89) [2000,2350] " , " (1.93333) [1,2] " , " (26.9757) [15,30] " , " (12.35) [616,1008] " , " (3.61905) [2,4] " , " (1) [1,2] " , " (8) [8,9] " , " (1) [1,2] " , " (2.66667) [2,3] " , " (0) [0,1] " , " (343.535) [8400,44800] " , " (1) [1,2] " , " (1) [1,2] "
18 , 66 , 86 , 121 , 184 , 192 , 247 , " (0) [0,1] " , " (3.71667) [3,4] " , " (2) [1,2] " , " (3) [3,4] " , " (884) [42000,72800] " , " (2.63333) [1,3] " , " (253.175) [50,455] " , " (2) [1,2] " , " (3171.26) [1000,4000] " , " (2.99) [0,7] " , " (2221.29) [2000,2350] " , " (1.66667) [1,2] " , " (24.8233) [15,30] " , " (11.7967) [616,1008] " , " (2.11) [2,4] " , " (1.23143) [1,2] " , " (8.8) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (175.57) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
19 , 20 , 84 , 118 , 180 , 211 , 295 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (1136.03) [42000,72800] " , " (2.06667) [1,3] " , " (192.825) [50,455] " , " (1.5) [1,2] " , " (2984.98) [1000,4000] " , " (6.15) [0,7] " , " (2209.27) [2000,2350] " , " (1.66667) [1,2] " , " (25.1183) [15,30] " , " (12.0617) [616,1008] " , " (2.16667) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (1.45) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (109.293) [8400,44800] " , " (1.75) [1,2] " , " (1.66667) [1,2] "
20 , 11 , 107 , 128 , 185 , 235 , 284 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.2) [3,4] " , " (912.45) [42000,72800] " , " (2.18333) [1,3] " , " (450.85) [50,455] " , " (2) [1,2] " , " (2621.01) [1000,4000] " , " (1.84) [0,7] " , " (2030.27) [2000,2350] " , " (1) [1,2] " , " (22.9745) [15,30] " , " (10.2267) [616,1008] " , " (3.6) [2,4] " , " (1.03571) [1,2] " , " (8.5) [8,9] " , " (1.3) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (176.615) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
