DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
11 , 60 , 88 , 121 , 180 , 234 , 280 , " (1) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (1215.75) [42000,72800] " , " (2.45) [1,3] " , " (231.85) [50,455] " , " (1.5) [1,2] " , " (3192.36) [1000,4000] " , " (4.42) [0,7] " , " (2197.77) [2000,2350] " , " (1.06667) [1,2] " , " (23.6485) [15,30] " , " (11.0417) [616,1008] " , " (2.125) [2,4] " , " (1.32143) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (152.778) [8400,44800] " , " (1.25) [1,2] " , " (2) [1,2] "
12 , 21 , 86 , 130 , 181 , 206 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (787.55) [42000,72800] " , " (1.5) [1,3] " , " (346.35) [50,455] " , " (1.5) [1,2] " , " (2671.76) [1000,4000] " , " (6.02) [0,7] " , " (2131.8) [2000,2350] " , " (1.66667) [1,2] " , " (29.3433) [15,30] " , " (11.1167) [616,1008] " , " (3.83333) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (235.748) [8400,44800] " , " (1) [1,2] " , " (1) [1,2] "
13 , 2 , 96 , 134 , 163 , 192 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (939.1) [42000,72800] " , " (2.56667) [1,3] " , " (436.867) [50,455] " , " (1) [1,2] " , " (1976.53) [1000,4000] " , " (4.6) [0,7] " , " (2116.47) [2000,2350] " , " (1) [1,2] " , " (26.8025) [15,30] " , " (19.3) [616,1008] " , " (2.95833) [2,4] " , " (1.5) [1,2] " , " (8) [8,9] " , " (1.9) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (263.534) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
14 , 78 , 114 , 121 , 145 , 235 , 284 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.75) [3,4] " , " (932.9) [42000,72800] " , " (2.925) [1,3] " , " (153.1) [50,455] " , " (2) [1,2] " , " (2527.44) [1000,4000] " , " (2.5) [0,7] " , " (2007.74) [2000,2350] " , " (1.66667) [1,2] " , " (28.6461) [15,30] " , " (10.4267) [616,1008] " , " (2.49314) [2,4] " , " (1.57143) [1,2] " , " (8) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (127.668) [8400,44800] " , " (1) [1,2] " , " (2) [1,2] "
15 , 60 , 88 , 121 , 180 , 216 , 280 , " (1) [0,1] " , " (3.06667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (1215.75) [42000,72800] " , " (2.45) [1,3] " , " (231.85) [50,455] " , " (1.5) [1,2] " , " (3244.96) [1000,4000] " , " (4.42) [0,7] " , " (2198.31) [2000,2350] " , " (1.06667) [1,2] " , " (24.0526) [15,30] " , " (11.0417) [616,1008] " , " (2.33333) [2,4] " , " (1.32143) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (169.845) [8400,44800] " , " (1.25) [1,2] " , " (2) [1,2] "
16 , 18 , 84 , 134 , 149 , 214 , 246 , " (0) [0,1] " , " (3.8) [3,4] " , " (2) [1,2] " , " (3.41667) [3,4] " , " (956.55) [42000,72800] " , " (2.43333) [1,3] " , " (195.778) [50,455] " , " (1.71429) [1,2] " , " (3134.37) [1000,4000] " , " (5.5) [0,7] " , " (2143.9) [2000,2350] " , " (1) [1,2] " , " (20.8667) [15,30] " , " (10.9986) [616,1008] " , " (2) [2,4] " , " (1) [1,2] " , " (8.3) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (55.0133) [8400,44800] " , " (1.5) [1,2] " , " (1.76667) [1,2] "
17 , 32 , 84 , 136 , 175 , 192 , 286 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (922.333) [42000,72800] " , " (2.9) [1,3] " , " (261.392) [50,455] " , " (1.5) [1,2] " , " (3947.32) [1000,4000] " , " (5.9) [0,7] " , " (2342.07) [2000,2350] " , " (1.66667) [1,2] " , " (25.9357) [15,30] " , " (15.4717) [616,1008] " , " (3) [2,4] " , " (1.57143) [1,2] " , " (8.98333) [8,9] " , " (1.15) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (219.748) [8400,44800] " , " (1.5) [1,2] " , " (2) [1,2] "
18 , 66 , 110 , 129 , 153 , 198 , 259 , " (0.3) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (1091.63) [42000,72800] " , " (2.81667) [1,3] " , " (288.41) [50,455] " , " (1.5) [1,2] " , " (3589.27) [1000,4000] " , " (4.8) [0,7] " , " (2321.9) [2000,2350] " , " (1.33333) [1,2] " , " (27.7868) [15,30] " , " (14.9733) [616,1008] " , " (2.51294) [2,4] " , " (1.73143) [1,2] " , " (8.6) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (257.844) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
19 , 20 , 113 , 122 , 163 , 235 , 260 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.41667) [3,4] " , " (987.927) [42000,72800] " , " (2.46667) [1,3] " , " (203.11) [50,455] " , " (2) [1,2] " , " (2892.97) [1000,4000] " , " (5.1) [0,7] " , " (2320.01) [2000,2350] " , " (1) [1,2] " , " (25.1642) [15,30] " , " (13.186) [616,1008] " , " (3.29167) [2,4] " , " (1.5) [1,2] " , " (8.19) [8,9] " , " (2) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (144.674) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
20 , 78 , 81 , 130 , 137 , 214 , 286 , " (0) [0,1] " , " (3) [3,4] " , " (1.5) [1,2] " , " (3.75) [3,4] " , " (678.117) [42000,72800] " , " (2.95) [1,3] " , " (299.592) [50,455] " , " (2) [1,2] " , " (3226.59) [1000,4000] " , " (4.7) [0,7] " , " (2151.55) [2000,2350] " , " (1) [1,2] " , " (23.2623) [15,30] " , " (8.17333) [616,1008] " , " (2.64608) [2,4] " , " (1) [1,2] " , " (8.2) [8,9] " , " (1.25) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (116.751) [8400,44800] " , " (2) [1,2] " , " (2) [1,2] "
