DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
11 , 11 , 107 , 119 , 180 , 218 , 247 , " (1) [0,1] " , " (3.21667) [3,4] " , " (1.33333) [1,2] " , " (3.43333) [3,4] " , " (874.375) [42000,72800] " , " (1.28333) [1,3] " , " (416.475) [50,455] " , " (1.5) [1,2] " , " (2467.6) [1000,4000] " , " (5.77) [0,7] " , " (2012.13) [2000,2350] " , " (1) [1,2] " , " (21.2783) [15,30] " , " (9.90167) [616,1008] " , " (2.75) [2,4] " , " (1.25) [1,2] " , " (8.9) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (64.3333) [8400,44800] " , " (1) [1,2] " , " (1.75) [1,2] "
12 , 20 , 96 , 132 , 185 , 235 , 277 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.2) [3,4] " , " (610.907) [42000,72800] " , " (2.21667) [1,3] " , " (188.243) [50,455] " , " (1) [1,2] " , " (1966.28) [1000,4000] " , " (1.84) [0,7] " , " (2065.84) [2000,2350] " , " (1.33333) [1,2] " , " (27.8262) [15,30] " , " (10.1833) [616,1008] " , " (2.1) [2,4] " , " (1.78571) [1,2] " , " (8.15) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (238.842) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
13 , 66 , 99 , 121 , 175 , 192 , 274 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1) [1,2] " , " (3.5) [3,4] " , " (662.3) [42000,72800] " , " (2.175) [1,3] " , " (198.475) [50,455] " , " (1.5) [1,2] " , " (2277.95) [1000,4000] " , " (2.2) [0,7] " , " (2197.34) [2000,2350] " , " (1.6) [1,2] " , " (28.5091) [15,30] " , " (11.62) [616,1008] " , " (2.66) [2,4] " , " (1.23143) [1,2] " , " (8.9) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (199.522) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
14 , 18 , 84 , 125 , 156 , 227 , 246 , " (0) [0,1] " , " (3.46667) [3,4] " , " (1) [1,2] " , " (3.16667) [3,4] " , " (1095.21) [42000,72800] " , " (2.75833) [1,3] " , " (186.285) [50,455] " , " (2) [1,2] " , " (3291.03) [1000,4000] " , " (3.2) [0,7] " , " (2175.98) [2000,2350] " , " (1) [1,2] " , " (27.2675) [15,30] " , " (11.22) [616,1008] " , " (3.16667) [2,4] " , " (1) [1,2] " , " (8.3) [8,9] " , " (1.85) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (173.377) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
15 , 8 , 86 , 128 , 184 , 235 , 247 , " (0) [0,1] " , " (3.21667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (888.55) [42000,72800] " , " (2.91667) [1,3] " , " (452.85) [50,455] " , " (2) [1,2] " , " (2805.51) [1000,4000] " , " (3.09) [0,7] " , " (2178.48) [2000,2350] " , " (2) [1,2] " , " (26.7059) [15,30] " , " (11.86) [616,1008] " , " (2.18529) [2,4] " , " (1.78571) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (206.371) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
16 , 20 , 95 , 117 , 175 , 214 , 260 , " (0) [0,1] " , " (3.33333) [3,4] " , " (2) [1,2] " , " (3.65) [3,4] " , " (964.06) [42000,72800] " , " (1.71667) [1,3] " , " (177.092) [50,455] " , " (1.5) [1,2] " , " (2251.04) [1000,4000] " , " (5.02) [0,7] " , " (2158.4) [2000,2350] " , " (1.33333) [1,2] " , " (23.4917) [15,30] " , " (12.97) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.9) [8,9] " , " (1.75) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (148.365) [8400,44800] " , " (1.25) [1,2] " , " (1.66667) [1,2] "
17 , 11 , 112 , 130 , 153 , 211 , 255 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.61667) [3,4] " , " (725.467) [42000,72800] " , " (2.23333) [1,3] " , " (447.842) [50,455] " , " (2) [1,2] " , " (3258.07) [1000,4000] " , " (6.64333) [0,7] " , " (2157.8) [2000,2350] " , " (1.93333) [1,2] " , " (21.5274) [15,30] " , " (11.3667) [616,1008] " , " (2) [2,4] " , " (1.32143) [1,2] " , " (8.3) [8,9] " , " (1.65) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (155.913) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
18 , 19 , 96 , 133 , 185 , 235 , 295 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.86667) [3,4] " , " (765.11) [42000,72800] " , " (2.96667) [1,3] " , " (450.217) [50,455] " , " (1) [1,2] " , " (2058.52) [1000,4000] " , " (5.34) [0,7] " , " (2066.83) [2000,2350] " , " (1) [1,2] " , " (29.9517) [15,30] " , " (11.12) [616,1008] " , " (2.76667) [2,4] " , " (1.5) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (290.36) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
19 , 66 , 99 , 119 , 175 , 192 , 274 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.33333) [1,2] " , " (3.5) [3,4] " , " (665.675) [42000,72800] " , " (1.925) [1,3] " , " (217.975) [50,455] " , " (1.5) [1,2] " , " (2382.81) [1000,4000] " , " (2.9) [0,7] " , " (2227.21) [2000,2350] " , " (1.6) [1,2] " , " (25.6148) [15,30] " , " (11.845) [616,1008] " , " (2.66) [2,4] " , " (1.16) [1,2] " , " (8.9) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.362) [8400,44800] " , " (2) [1,2] " , " (1.75) [1,2] "
20 , 21 , 84 , 134 , 180 , 217 , 246 , " (1) [0,1] " , " (3.96667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (946.483) [42000,72800] " , " (1.68333) [1,3] " , " (369.36) [50,455] " , " (1.5) [1,2] " , " (3228.89) [1000,4000] " , " (5.91667) [0,7] " , " (2193.97) [2000,2350] " , " (1.66667) [1,2] " , " (24.0367) [15,30] " , " (10.7883) [616,1008] " , " (4) [2,4] " , " (1.5) [1,2] " , " (8.25) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (73.3483) [8400,44800] " , " (1.75) [1,2] " , " (1.1) [1,2] "
21 , 20 , 92 , 125 , 163 , 214 , 260 , " (0) [0,1] " , " (3.66667) [3,4] " , " (2) [1,2] " , " (3.01667) [3,4] " , " (1046.29) [42000,72800] " , " (2.58333) [1,3] " , " (266.145) [50,455] " , " (2) [1,2] " , " (1919.8) [1000,4000] " , " (6.58) [0,7] " , " (2279.77) [2000,2350] " , " (2) [1,2] " , " (26.0208) [15,30] " , " (13.63) [616,1008] " , " (3.125) [2,4] " , " (1.5) [1,2] " , " (8.15) [8,9] " , " (1.75) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (179.244) [8400,44800] " , " (2) [1,2] " , " (1.86667) [1,2] "
22 , 11 , 107 , 120 , 137 , 221 , 254 , " (0) [0,1] " , " (3.5) [3,4] " , " (1) [1,2] " , " (3.5) [3,4] " , " (837.413) [42000,72800] " , " (2.56) [1,3] " , " (420.725) [50,455] " , " (1.66667) [1,2] " , " (2535.22) [1000,4000] " , " (2) [0,7] " , " (2039.1) [2000,2350] " , " (1) [1,2] " , " (29.6801) [15,30] " , " (9.59333) [616,1008] " , " (3.36961) [2,4] " , " (1.75) [1,2] " , " (8.33333) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (122.518) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
23 , 8 , 99 , 124 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1) [1,2] " , " (4) [3,4] " , " (666.85) [42000,72800] " , " (2.85833) [1,3] " , " (398.15) [50,455] " , " (1.5) [1,2] " , " (1890.82) [1000,4000] " , " (2.3) [0,7] " , " (2125.34) [2000,2350] " , " (1.93333) [1,2] " , " (29.6989) [15,30] " , " (11.6833) [616,1008] " , " (2.73529) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (251.993) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
24 , 17 , 103 , 130 , 184 , 214 , 246 , " (0) [0,1] " , " (3.96667) [3,4] " , " (1) [1,2] " , " (3.66667) [3,4] " , " (955.467) [42000,72800] " , " (1.13333) [1,3] " , " (436.543) [50,455] " , " (2) [1,2] " , " (3297.91) [1000,4000] " , " (5.9) [0,7] " , " (2101.99) [2000,2350] " , " (1) [1,2] " , " (22.4087) [15,30] " , " (8.26333) [616,1008] " , " (3.80294) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1.1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (96.1625) [8400,44800] " , " (1.5) [1,2] " , " (1.6) [1,2] "
25 , 20 , 95 , 119 , 177 , 235 , 243 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (1307.15) [42000,72800] " , " (2.9) [1,3] " , " (188.167) [50,455] " , " (2) [1,2] " , " (1914.33) [1000,4000] " , " (5.18) [0,7] " , " (2106.57) [2000,2350] " , " (2) [1,2] " , " (27.725) [15,30] " , " (10.9767) [616,1008] " , " (2) [2,4] " , " (2) [1,2] " , " (8.05) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.955) [8400,44800] " , " (1.5) [1,2] " , " (1.91667) [1,2] "
