DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
1 , 66 , 95 , 119 , 175 , 192 , 274 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.33333) [1,2] " , " (3.1) [3,4] " , " (780.108) [42000,72800] " , " (2.06667) [1,3] " , " (236.108) [50,455] " , " (1.5) [1,2] " , " (2584.54) [1000,4000] " , " (2.78) [0,7] " , " (2105.2) [2000,2350] " , " (1.33333) [1,2] " , " (23.7623) [15,30] " , " (11.945) [616,1008] " , " (2.66) [2,4] " , " (1.16) [1,2] " , " (8.9) [8,9] " , " (1.15) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (140.637) [8400,44800] " , " (1.75) [1,2] " , " (1.75) [1,2] "
2 , 11 , 107 , 130 , 149 , 218 , 283 , " (0) [0,1] " , " (3.4) [3,4] " , " (1) [1,2] " , " (3.33333) [3,4] " , " (771.56) [42000,72800] " , " (1.98333) [1,3] " , " (411.335) [50,455] " , " (1.71429) [1,2] " , " (3113.55) [1000,4000] " , " (2.7) [0,7] " , " (2033.08) [2000,2350] " , " (1.33333) [1,2] " , " (25.2883) [15,30] " , " (11.4869) [616,1008] " , " (3) [2,4] " , " (1.75) [1,2] " , " (8.5) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (77.4233) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
3 , 8 , 86 , 128 , 184 , 235 , 247 , " (0) [0,1] " , " (3.21667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (888.55) [42000,72800] " , " (2.91667) [1,3] " , " (452.85) [50,455] " , " (2) [1,2] " , " (2805.51) [1000,4000] " , " (3.09) [0,7] " , " (2178.48) [2000,2350] " , " (2) [1,2] " , " (26.7059) [15,30] " , " (11.86) [616,1008] " , " (2.18529) [2,4] " , " (1.78571) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (206.371) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
4 , 18 , 112 , 129 , 153 , 198 , 259 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (722.687) [42000,72800] " , " (1.98333) [1,3] " , " (184.243) [50,455] " , " (1.5) [1,2] " , " (2590.28) [1000,4000] " , " (6.53333) [0,7] " , " (2213) [2000,2350] " , " (1.6) [1,2] " , " (26.1128) [15,30] " , " (13.81) [616,1008] " , " (2.85294) [2,4] " , " (1.07143) [1,2] " , " (8.8) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (259.904) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
5 , 2 , 96 , 118 , 163 , 192 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (938.2) [42000,72800] " , " (2.36667) [1,3] " , " (436.867) [50,455] " , " (1) [1,2] " , " (2209.73) [1000,4000] " , " (4.6) [0,7] " , " (2114.77) [2000,2350] " , " (1) [1,2] " , " (27.0825) [15,30] " , " (19.7) [616,1008] " , " (2.95833) [2,4] " , " (1.5) [1,2] " , " (8) [8,9] " , " (1.9) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (259.444) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
6 , 78 , 85 , 121 , 145 , 211 , 241 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.24359) [1,2] " , " (3.65) [3,4] " , " (1278.45) [42000,72800] " , " (2.66667) [1,3] " , " (124.225) [50,455] " , " (1.66667) [1,2] " , " (2570.15) [1000,4000] " , " (3.59692) [0,7] " , " (2110.07) [2000,2350] " , " (1.26667) [1,2] " , " (28.2578) [15,30] " , " (8.16) [616,1008] " , " (2.09314) [2,4] " , " (1.57143) [1,2] " , " (8.7) [8,9] " , " (1.45) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (146.669) [8400,44800] " , " (1) [1,2] " , " (2) [1,2] "
7 , 66 , 113 , 120 , 151 , 235 , 285 , " (0) [0,1] " , " (3.71667) [3,4] " , " (1.66667) [1,2] " , " (3.35) [3,4] " , " (801.438) [42000,72800] " , " (2.44667) [1,3] " , " (258.01) [50,455] " , " (2) [1,2] " , " (2884.7) [1000,4000] " , " (2.57) [0,7] " , " (2238.71) [2000,2350] " , " (1) [1,2] " , " (25.8237) [15,30] " , " (12.5743) [616,1008] " , " (2.49333) [2,4] " , " (1.66) [1,2] " , " (8.22333) [8,9] " , " (1) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (108.695) [8400,44800] " , " (2) [1,2] " , " (1.85) [1,2] "
8 , 24 , 99 , 117 , 180 , 192 , 294 , " (1) [0,1] " , " (3.16667) [3,4] " , " (1.66667) [1,2] " , " (3.3) [3,4] " , " (849.95) [42000,72800] " , " (1.70833) [1,3] " , " (228.85) [50,455] " , " (1.5) [1,2] " , " (2152.65) [1000,4000] " , " (6.94) [0,7] " , " (2271.78) [2000,2350] " , " (1.6) [1,2] " , " (27.2892) [15,30] " , " (12.325) [616,1008] " , " (3) [2,4] " , " (1.5) [1,2] " , " (9) [8,9] " , " (1.4) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (220.438) [8400,44800] " , " (1.75) [1,2] " , " (1) [1,2] "
9 , 18 , 84 , 132 , 143 , 198 , 267 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.5) [3,4] " , " (1115.39) [42000,72800] " , " (2.57667) [1,3] " , " (214.343) [50,455] " , " (2) [1,2] " , " (3305.48) [1000,4000] " , " (1.8) [0,7] " , " (2204.46) [2000,2350] " , " (1.5) [1,2] " , " (29.8532) [15,30] " , " (12.77) [616,1008] " , " (3.01961) [2,4] " , " (1.28571) [1,2] " , " (8.8) [8,9] " , " (1.5) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (154.912) [8400,44800] " , " (2) [1,2] " , " (1.76667) [1,2] "
10 , 8 , 95 , 124 , 175 , 235 , 274 , " (0) [0,1] " , " (3.33333) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (781.283) [42000,72800] " , " (3) [1,3] " , " (416.283) [50,455] " , " (1.5) [1,2] " , " (2092.55) [1000,4000] " , " (2.18) [0,7] " , " (2003.33) [2000,2350] " , " (1.66667) [1,2] " , " (27.8464) [15,30] " , " (11.7833) [616,1008] " , " (2.73529) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (199.268) [8400,44800] " , " (1.75) [1,2] " , " (1.5) [1,2] "
