DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , COMIDA_ENTRADA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
11 , 11 , 88 , 118 , 143 , 231 , 283 , 133 , " (0,0) [0,1] " , " (3.06667,3.06667) [3,4] " , " (1,1) [1,2] " , " (3.95,3.95) [3,4] " , " (900.967,901.867) [42000,72800] " , " (2.47667,2.57667) [1,3] " , " (430.125,430.125) [50,455] " , " (2,2) [1,2] " , " (3460.5,3459.7) [1000,4000] " , " (1.96,1.96) [0,7] " , " (2086.56,2085.36) [2000,2350] " , " (1.4,1.4) [1,2] " , " (29.8417,29.3917) [15,30] " , " (12.3667,11.9667) [616,1008] " , " (3.16667,3.16667) [2,4] " , " (1.75,1.75) [1,2] " , " (8.33333,8.33333) [8,9] " , " (1.15,1.15) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (161.718,156.458) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
12 , 11 , 107 , 124 , 137 , 235 , 275 , 130 , " (0,0) [0,1] " , " (4,4) [3,4] " , " (1,1) [1,2] " , " (3.35,3.35) [3,4] " , " (833.15,842.017) [42000,72800] " , " (2.8,1.98333) [1,3] " , " (428.05,437.517) [50,455] " , " (2,2) [1,2] " , " (3096.66,3161.85) [1000,4000] " , " (1.84,1.84) [0,7] " , " (2097.79,2155.76) [2000,2350] " , " (1,1.33333) [1,2] " , " (28.4071,26.8837) [15,30] " , " (10.5267,11.4933) [616,1008] " , " (2.35294,2.35294) [2,4] " , " (1.75,1.75) [1,2] " , " (8.5,9) [8,9] " , " (1.3,1.3) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (159.946,134.434) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
13 , 66 , 99 , 121 , 175 , 235 , 274 , 119 , " (0,0) [0,1] " , " (3.33333,3.33333) [3,4] " , " (1.66667,2) [1,2] " , " (3.5,3.5) [3,4] " , " (624.25,627.625) [42000,72800] " , " (2.175,1.925) [1,3] " , " (195,214.5) [50,455] " , " (1.5,1.5) [1,2] " , " (2269.22,2374.08) [1000,4000] " , " (2.5,3.2) [0,7] " , " (2212.4,2242.28) [2000,2350] " , " (1.6,1.6) [1,2] " , " (28.5091,25.6148) [15,30] " , " (11.62,11.845) [616,1008] " , " (2.66,2.66) [2,4] " , " (1.23143,1.16) [1,2] " , " (8.9,8.9) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (199.522,193.362) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.75) [1,2] "
14 , 18 , 95 , 129 , 156 , 218 , 246 , 131 , " (0,0) [0,1] " , " (3.46667,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.1,3.1) [3,4] " , " (1129.69,1129.69) [42000,72800] " , " (2.775,2.785) [1,3] " , " (173.268,173.268) [50,455] " , " (2,2) [1,2] " , " (2361.16,2361.06) [1000,4000] " , " (4.78,4.78) [0,7] " , " (2117.68,2116.91) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (29.3742,29.3742) [15,30] " , " (10.895,10.895) [616,1008] " , " (3,3) [2,4] " , " (1.5,1.5) [1,2] " , " (8.3,8.3) [8,9] " , " (1.85,1.85) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (191.668,191.668) [8400,44800] " , " (1,1) [1,2] " , " (1.76667,1.76667) [1,2] "
15 , 11 , 105 , 131 , 152 , 206 , 260 , 129 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.07143,1.07143) [1,2] " , " (3.16667,3.16667) [3,4] " , " (950.8,950.8) [42000,72800] " , " (1.92,1.91) [1,3] " , " (440.492,440.492) [50,455] " , " (1,1) [1,2] " , " (2656.53,2656.63) [1000,4000] " , " (4.28571,4.28571) [0,7] " , " (2066.26,2067.03) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (21.4183,21.4183) [15,30] " , " (10.9333,10.9333) [616,1008] " , " (2.66667,2.66667) [2,4] " , " (1.25,1.25) [1,2] " , " (9,9) [8,9] " , " (1.95,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (106.185,106.185) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
16 , 8 , 95 , 119 , 175 , 235 , 274 , 124 , " (0,0) [0,1] " , " (3.33333,3.33333) [3,4] " , " (1.33333,1) [1,2] " , " (3.6,3.6) [3,4] " , " (784.658,781.283) [42000,72800] " , " (2.08333,3) [1,3] " , " (435.783,416.283) [50,455] " , " (1.5,1.5) [1,2] " , " (2179.53,2092.55) [1000,4000] " , " (2.88,2.18) [0,7] " , " (2092.33,2003.33) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (29.613,27.8464) [15,30] " , " (12.0083,11.7833) [616,1008] " , " (2.73529,2.73529) [2,4] " , " (2,1.5) [1,2] " , " (8.5,8.5) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (150.476,199.268) [8400,44800] " , " (1.75,1.75) [1,2] " , " (1.75,1.5) [1,2] "
17 , 11 , 110 , 132 , 175 , 234 , 260 , 131 , " (0.3,0.3) [0,1] " , " (3.33333,3.33333) [3,4] " , " (2,2) [1,2] " , " (4,4) [3,4] " , " (1115.15,1142.45) [42000,72800] " , " (2.05,1.77667) [1,3] " , " (440.125,440.125) [50,455] " , " (1.5,1.5) [1,2] " , " (3500.49,3730.4) [1000,4000] " , " (2.6,2.6) [0,7] " , " (2165.56,2175.34) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (18.402,19.8825) [15,30] " , " (14.7833,14.8833) [616,1008] " , " (2.95833,2.95833) [2,4] " , " (1.03571,1.25) [1,2] " , " (8.5,8.5) [8,9] " , " (1.95,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (124.37,118.422) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
18 , 8 , 95 , 119 , 175 , 235 , 274 , 130 , " (0,0) [0,1] " , " (3.33333,3.33333) [3,4] " , " (1.33333,1) [1,2] " , " (3.6,3.6) [3,4] " , " (784.658,790.15) [42000,72800] " , " (2.08333,2.18333) [1,3] " , " (435.783,425.75) [50,455] " , " (1.5,1.5) [1,2] " , " (2179.53,2157.74) [1000,4000] " , " (2.88,2.18) [0,7] " , " (2092.33,2061.29) [2000,2350] " , " (1.66667,2) [1,2] " , " (29.613,26.323) [15,30] " , " (12.0083,12.75) [616,1008] " , " (2.73529,2.73529) [2,4] " , " (2,1.5) [1,2] " , " (8.5,9) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (150.476,173.756) [8400,44800] " , " (1.75,1.75) [1,2] " , " (1.75,1.5) [1,2] "
19 , 11 , 107 , 130 , 149 , 218 , 283 , 130 , " (0,0) [0,1] " , " (3.4,3.4) [3,4] " , " (1,1) [1,2] " , " (3.33333,3.33333) [3,4] " , " (771.56,771.56) [42000,72800] " , " (1.98333,1.98333) [1,3] " , " (411.335,411.335) [50,455] " , " (1.71429,1.71429) [1,2] " , " (3113.55,3113.55) [1000,4000] " , " (2.7,2.7) [0,7] " , " (2033.08,2033.08) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (25.2883,25.2883) [15,30] " , " (11.4869,11.4869) [616,1008] " , " (3,3) [2,4] " , " (1.75,1.75) [1,2] " , " (8.5,8.5) [8,9] " , " (1.05,1.05) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (77.4233,77.4233) [8400,44800] " , " (1.75,1.75) [1,2] " , " (1.5,1.5) [1,2] "
20 , 11 , 107 , 131 , 184 , 188 , 283 , 129 , " (0,0) [0,1] " , " (3.06667,3.06667) [3,4] " , " (2,2) [1,2] " , " (3.5,3.5) [3,4] " , " (821.6,821.6) [42000,72800] " , " (1.36,1.35) [1,3] " , " (438.525,438.525) [50,455] " , " (2,2) [1,2] " , " (3010.08,3010.18) [1000,4000] " , " (3,3) [0,7] " , " (2030.83,2031.6) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (20.7467,20.7467) [15,30] " , " (11.3333,11.3333) [616,1008] " , " (2.7,2.7) [2,4] " , " (1.25,1.25) [1,2] " , " (8.5,8.5) [8,9] " , " (1.05,1.05) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (82.33,82.33) [8400,44800] " , " (1.5,1.5) [1,2] " , " (1.5,1.5) [1,2] "
