DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , COMIDA_ENTRADA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
21 , 66 , 113 , 130 , 151 , 235 , 285 , 124 , " (0,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1.66667,1.66667) [1,2] " , " (3.35,3.35) [3,4] " , " (807.692,798.825) [42000,72800] " , " (2.17,2.98667) [1,3] " , " (255.877,246.41) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2953.84,2888.65) [1000,4000] " , " (2.57,2.57) [0,7] " , " (2275.62,2217.65) [2000,2350] " , " (1.33333,1) [1,2] " , " (25.539,27.0623) [15,30] " , " (13.3543,12.3877) [616,1008] " , " (2.49333,2.49333) [2,4] " , " (1.66,1.66) [1,2] " , " (8.59,8.09) [8,9] " , " (1,1) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (107.541,133.053) [8400,44800] " , " (2,2) [1,2] " , " (1.85,1.85) [1,2] "
22 , 18 , 99 , 132 , 156 , 218 , 246 , 118 , " (0,0) [0,1] " , " (3.46667,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.5,3.5) [3,4] " , " (987.957,990.057) [42000,72800] " , " (2.91667,2.91667) [1,3] " , " (155.135,155.135) [50,455] " , " (2,2) [1,2] " , " (1929.42,2160.03) [1000,4000] " , " (4.9,4.9) [0,7] " , " (2229.14,2228.85) [2000,2350] " , " (1.6,1.6) [1,2] " , " (29.7462,28.3433) [15,30] " , " (10.695,10.995) [616,1008] " , " (3,3) [2,4] " , " (1.28571,1) [1,2] " , " (8.3,8.8) [8,9] " , " (1.85,1.85) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (250.342,260.572) [8400,44800] " , " (1.25,1.25) [1,2] " , " (1.76667,1.76667) [1,2] "
23 , 20 , 95 , 117 , 175 , 214 , 260 , 117 , " (0,0) [0,1] " , " (3.33333,3.33333) [3,4] " , " (2,2) [1,2] " , " (3.65,3.65) [3,4] " , " (964.06,964.06) [42000,72800] " , " (1.71667,1.71667) [1,3] " , " (177.092,177.092) [50,455] " , " (1.5,1.5) [1,2] " , " (2251.04,2251.04) [1000,4000] " , " (5.02,5.02) [0,7] " , " (2158.4,2158.4) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (23.4917,23.4917) [15,30] " , " (12.97,12.97) [616,1008] " , " (2.83333,2.83333) [2,4] " , " (1.5,1.5) [1,2] " , " (8.9,8.9) [8,9] " , " (1.75,1.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (148.365,148.365) [8400,44800] " , " (1.25,1.25) [1,2] " , " (1.66667,1.66667) [1,2] "
24 , 20 , 92 , 118 , 163 , 214 , 260 , 133 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (2,2) [1,2] " , " (3.01667,3.01667) [3,4] " , " (1045.39,1046.29) [42000,72800] " , " (2.48333,2.58333) [1,3] " , " (266.145,266.145) [50,455] " , " (2,2) [1,2] " , " (2152.86,2152.06) [1000,4000] " , " (6.58,6.58) [0,7] " , " (2279.87,2278.67) [2000,2350] " , " (2,2) [1,2] " , " (26.4408,25.9908) [15,30] " , " (14.03,13.63) [616,1008] " , " (3.125,3.125) [2,4] " , " (1.5,1.5) [1,2] " , " (8.15,8.15) [8,9] " , " (1.75,1.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (177.524,172.264) [8400,44800] " , " (2,2) [1,2] " , " (1.86667,1.86667) [1,2] "
25 , 5 , 92 , 129 , 152 , 235 , 294 , 132 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.07143,1.07143) [1,2] " , " (3.76667,3.76667) [3,4] " , " (832.31,805.01) [42000,72800] " , " (2.2,2.48333) [1,3] " , " (267.537,267.537) [50,455] " , " (2,2) [1,2] " , " (2519.82,2289.8) [1000,4000] " , " (4.26571,4.26571) [0,7] " , " (2187.96,2177.41) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (29.7317,28.2512) [15,30] " , " (14.2767,14.1767) [616,1008] " , " (3,3) [2,4] " , " (2,1.78571) [1,2] " , " (8.25,8.25) [8,9] " , " (1.1,1.1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (184.993,190.942) [8400,44800] " , " (2,2) [1,2] " , " (1.2,1.2) [1,2] "
26 , 19 , 96 , 133 , 185 , 235 , 295 , 125 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.86667,3.86667) [3,4] " , " (765.11,765.11) [42000,72800] " , " (2.96667,2.96667) [1,3] " , " (450.217,450.217) [50,455] " , " (1,1) [1,2] " , " (2058.52,1826.25) [1000,4000] " , " (5.34,5.34) [0,7] " , " (2066.83,2067.93) [2000,2350] " , " (1,1) [1,2] " , " (29.9517,29.9817) [15,30] " , " (11.12,11.12) [616,1008] " , " (2.76667,2.76667) [2,4] " , " (1.5,1.5) [1,2] " , " (8.4,8.4) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (290.36,297.34) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
27 , 31 , 107 , 131 , 184 , 214 , 280 , 129 , " (0.333333,0.333333) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.7,3.7) [3,4] " , " (1189.9,1189.9) [42000,72800] " , " (1.70167,1.69167) [1,3] " , " (269,269) [50,455] " , " (2,2) [1,2] " , " (3972.63,3972.73) [1000,4000] " , " (3.86,3.86) [0,7] " , " (2221.13,2221.9) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (23.015,23.015) [15,30] " , " (11.3,11.3) [616,1008] " , " (3.2,3.2) [2,4] " , " (1.25,1.25) [1,2] " , " (8.5,8.5) [8,9] " , " (1.1,1.1) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (187.229,187.229) [8400,44800] " , " (2,2) [1,2] " , " (2,2) [1,2] "
28 , 78 , 85 , 121 , 145 , 211 , 241 , 117 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1.24359,1.24359) [1,2] " , " (3.65,3.95) [3,4] " , " (1278.45,1282.95) [42000,72800] " , " (2.66667,2.78333) [1,3] " , " (124.225,161.625) [50,455] " , " (1.66667,1.66667) [1,2] " , " (2570.15,2609.36) [1000,4000] " , " (3.59692,3.83692) [0,7] " , " (2110.07,2115.55) [2000,2350] " , " (1.26667,1.26667) [1,2] " , " (28.2578,22.3669) [15,30] " , " (8.16,8.66) [616,1008] " , " (2.09314,2.09314) [2,4] " , " (1.57143,1) [1,2] " , " (8.7,8.7) [8,9] " , " (1.45,1.45) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (146.669,163.96) [8400,44800] " , " (1,2) [1,2] " , " (2,2) [1,2] "
29 , 29 , 96 , 134 , 152 , 235 , 285 , 118 , " (0,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1.07143,1.07143) [1,2] " , " (3.26667,3.26667) [3,4] " , " (787.425,786.525) [42000,72800] " , " (2.71667,2.51667) [1,3] " , " (453.157,453.157) [50,455] " , " (1.6,1.6) [1,2] " , " (3226.58,3459.78) [1000,4000] " , " (3.85571,3.85571) [0,7] " , " (2127.75,2126.05) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (26.2133,26.4933) [15,30] " , " (31.7517,32.1517) [616,1008] " , " (2.83333,2.83333) [2,4] " , " (1.5,1.5) [1,2] " , " (8.4,8.4) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (197.688,193.598) [8400,44800] " , " (2,2) [1,2] " , " (1.75,1.75) [1,2] "
30 , 57 , 92 , 125 , 151 , 235 , 246 , 118 , " (0,0) [0,1] " , " (3.96667,3.96667) [3,4] " , " (1,1) [1,2] " , " (3.26667,3.26667) [3,4] " , " (905.01,904.11) [42000,72800] " , " (1.32,1.22) [1,3] " , " (419.272,419.272) [50,455] " , " (2,2) [1,2] " , " (1890.21,2123.28) [1000,4000] " , " (3.98,3.98) [0,7] " , " (2121.4,2121.5) [2000,2350] " , " (1,1) [1,2] " , " (24.144,24.564) [15,30] " , " (12.0233,12.4233) [616,1008] " , " (3.95238,3.95238) [2,4] " , " (1,1) [1,2] " , " (8.25,8.25) [8,9] " , " (1.35,1.35) [1,2] " , " (2.66667,2.66667) [2,3] " , " (0,0) [0,1] " , " (165.653,163.933) [8400,44800] " , " (2,2) [1,2] " , " (1.3,1.3) [1,2] "
31 , 17 , 100 , 118 , 156 , 235 , 260 , 129 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (2,2) [1,2] " , " (3.95,3.95) [3,4] " , " (876.867,902.067) [42000,72800] " , " (2.34167,2.05833) [1,3] " , " (424.892,424.892) [50,455] " , " (2,2) [1,2] " , " (3191.2,3190.6) [1000,4000] " , " (3.46,3.46) [0,7] " , " (2222.18,2233.02) [2000,2350] " , " (2,2) [1,2] " , " (24.3746,27.2579) [15,30] " , " (10.0333,9.83333) [616,1008] " , " (3.43627,3.43627) [2,4] " , " (1,1.5) [1,2] " , " (8.5,8) [8,9] " , " (1.25,1.25) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (236.531,220.352) [8400,44800] " , " (1,1) [1,2] " , " (1.5,1.5) [1,2] "
32 , 8 , 96 , 130 , 177 , 235 , 254 , 130 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.25,3.25) [3,4] " , " (1361.54,1361.54) [42000,72800] " , " (2.83333,2.83333) [1,3] " , " (411.917,411.917) [50,455] " , " (2,2) [1,2] " , " (1567.35,1567.35) [1000,4000] " , " (4.1,4.1) [0,7] " , " (2052.69,2052.69) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (27.1264,27.1264) [15,30] " , " (12.105,12.105) [616,1008] " , " (2.25196,2.25196) [2,4] " , " (1.5,1.5) [1,2] " , " (8.85,8.85) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (237.659,237.659) [8400,44800] " , " (1.25,1.25) [1,2] " , " (1.5,1.5) [1,2] "
33 , 11 , 112 , 129 , 160 , 193 , 260 , 132 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.66667,3.66667) [3,4] " , " (883.5,856.2) [42000,72800] " , " (2.53333,2.81667) [1,3] " , " (418.925,418.925) [50,455] " , " (2,2) [1,2] " , " (2938.91,2708.89) [1000,4000] " , " (4.53333,4.53333) [0,7] " , " (2157.25,2146.7) [2000,2350] " , " (1.6,1.6) [1,2] " , " (23.0033,21.5229) [15,30] " , " (10.56,10.46) [616,1008] " , " (2.08333,2.08333) [2,4] " , " (1.25,1.03571) [1,2] " , " (9,9) [8,9] " , " (1.95,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (142.478,148.427) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
34 , 20 , 84 , 128 , 175 , 235 , 278 , 128 , " (0,0) [0,1] " , " (3.33333,3.33333) [3,4] " , " (2,2) [1,2] " , " (3,3) [3,4] " , " (958.377,958.377) [42000,72800] " , " (2.78333,2.78333) [1,3] " , " (148.833,148.833) [50,455] " , " (1.5,1.5) [1,2] " , " (3810.96,3810.96) [1000,4000] " , " (1.9,1.9) [0,7] " , " (2211.59,2211.59) [2000,2350] " , " (1.5,1.5) [1,2] " , " (25.1145,25.1145) [15,30] " , " (13.17,13.17) [616,1008] " , " (3,3) [2,4] " , " (1.78571,1.78571) [1,2] " , " (8.9,8.9) [8,9] " , " (1,1) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (100.393,100.393) [8400,44800] " , " (2,2) [1,2] " , " (1.66667,1.66667) [1,2] "
35 , 8 , 84 , 130 , 175 , 192 , 289 , 119 , " (0,0) [0,1] " , " (3.83333,3.83333) [3,4] " , " (1.33333,1.66667) [1,2] " , " (4,4) [3,4] " , " (1095.02,1089.53) [42000,72800] " , " (2.73333,2.63333) [1,3] " , " (427.142,437.175) [50,455] " , " (1.5,1.5) [1,2] " , " (3749.33,3771.12) [1000,4000] " , " (2,2.7) [0,7] " , " (2160.72,2191.76) [2000,2350] " , " (1.70667,1.37333) [1,2] " , " (23.953,27.243) [15,30] " , " (14.8,14.0583) [616,1008] " , " (2.73529,2.73529) [2,4] " , " (1.5,2) [1,2] " , " (8.5,8) [8,9] " , " (1.15,1.15) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (169.696,146.416) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.75) [1,2] "
36 , 20 , 95 , 128 , 180 , 210 , 267 , 117 , " (1,1) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.14286,1.14286) [1,2] " , " (3.6,3.9) [3,4] " , " (1174.28,1178.78) [42000,72800] " , " (1.85,1.7) [1,3] " , " (191.842,229.242) [50,455] " , " (1.5,1.5) [1,2] " , " (2162.07,2162.02) [1000,4000] " , " (5.15143,5.39143) [0,7] " , " (2110.19,2145.6) [2000,2350] " , " (1.83333,1.83333) [1,2] " , " (27.7992,25.8764) [15,30] " , " (12.195,12.695) [616,1008] " , " (2.40196,2.40196) [2,4] " , " (1.78571,1.5) [1,2] " , " (8.65,8.65) [8,9] " , " (1.25,1.25) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (208.021,204.351) [8400,44800] " , " (1,2) [1,2] " , " (1.66667,1.66667) [1,2] "
37 , 11 , 109 , 132 , 152 , 206 , 260 , 131 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.07143,1.07143) [1,2] " , " (3.61667,3.61667) [3,4] " , " (925.6,952.9) [42000,72800] " , " (1.89333,1.62) [1,3] " , " (449.592,449.592) [50,455] " , " (1.33333,1.33333) [1,2] " , " (2204.98,2434.89) [1000,4000] " , " (4.64571,4.64571) [0,7] " , " (2060.11,2069.89) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (22.0179,23.4983) [15,30] " , " (10.6,10.7) [616,1008] " , " (2.33333,2.33333) [2,4] " , " (1.03571,1.25) [1,2] " , " (9,9) [8,9] " , " (1.95,1.95) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (119.515,113.567) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
38 , 20 , 96 , 133 , 185 , 235 , 277 , 134 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.2,3.2) [3,4] " , " (613.907,613.907) [42000,72800] " , " (2.31667,2.41667) [1,3] " , " (188.243,188.243) [50,455] " , " (1,1) [1,2] " , " (2196.1,1963.7) [1000,4000] " , " (1.84,1.84) [0,7] " , " (2064.35,2067.25) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (25.9733,26.1433) [15,30] " , " (10.0833,10.0833) [616,1008] " , " (2.1,2.1) [2,4] " , " (1.5,1.5) [1,2] " , " (8.65,8.65) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (243.812,253.162) [8400,44800] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] "
39 , 8 , 95 , 128 , 175 , 235 , 274 , 119 , " (0,0) [0,1] " , " (3.33333,3.33333) [3,4] " , " (1,1.33333) [1,2] " , " (3.6,3.6) [3,4] " , " (781.283,784.658) [42000,72800] " , " (2.6,2.08333) [1,3] " , " (416.283,435.783) [50,455] " , " (1.5,1.5) [1,2] " , " (2113.93,2179.53) [1000,4000] " , " (2.18,2.88) [0,7] " , " (2032.51,2092.33) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (28.5392,29.613) [15,30] " , " (11.7833,12.0083) [616,1008] " , " (2.73529,2.73529) [2,4] " , " (1.78571,2) [1,2] " , " (8.5,8.5) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (177.598,150.476) [8400,44800] " , " (1.75,1.75) [1,2] " , " (1.5,1.75) [1,2] "
40 , 11 , 107 , 131 , 184 , 210 , 283 , 132 , " (0,0) [0,1] " , " (3.56667,3.56667) [3,4] " , " (1.14286,1.14286) [1,2] " , " (3.5,3.5) [3,4] " , " (962.675,935.375) [42000,72800] " , " (1.36,1.63333) [1,3] " , " (454.775,454.775) [50,455] " , " (2,2) [1,2] " , " (2938.51,2708.6) [1000,4000] " , " (2.17143,2.17143) [0,7] " , " (2081.23,2071.45) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (25.253,23.7726) [15,30] " , " (11.4833,11.3833) [616,1008] " , " (3.10196,3.10196) [2,4] " , " (1.25,1.03571) [1,2] " , " (8.25,8.25) [8,9] " , " (1.55,1.55) [1,2] " , " (2.33333,2.33333) [2,3] " , " (0,0) [0,1] " , " (111.276,117.224) [8400,44800] " , " (1.5,1.5) [1,2] " , " (1.5,1.5) [1,2] "
41 , 20 , 113 , 120 , 163 , 206 , 260 , 128 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1,1) [1,2] " , " (3.41667,3.41667) [3,4] " , " (938.19,935.577) [42000,72800] " , " (2.42667,2.56667) [1,3] " , " (194.985,183.385) [50,455] " , " (2,1.33333) [1,2] " , " (2305.35,2330.68) [1000,4000] " , " (4.6,4.6) [0,7] " , " (2224.95,2233.08) [2000,2350] " , " (1,1) [1,2] " , " (27.1355,29.067) [15,30] " , " (13.5393,13.3527) [616,1008] " , " (3.29167,3.29167) [2,4] " , " (1.5,1.78571) [1,2] " , " (8.82333,8.69) [8,9] " , " (1.75,1.75) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (158.406,161.094) [8400,44800] " , " (2,2) [1,2] " , " (1.76667,1.76667) [1,2] "
42 , 20 , 84 , 118 , 181 , 227 , 246 , 131 , " (0,0) [0,1] " , " (3.46667,3.46667) [3,4] " , " (1,1) [1,2] " , " (3.66667,3.66667) [3,4] " , " (1167.68,1192.88) [42000,72800] " , " (1.73333,1.46) [1,3] " , " (225.835,225.835) [50,455] " , " (1.5,1.5) [1,2] " , " (3409.4,3408.7) [1000,4000] " , " (5.7,5.7) [0,7] " , " (2240.38,2250.45) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (25.2,28.0833) [15,30] " , " (10.9667,10.7667) [616,1008] " , " (2.66667,2.66667) [2,4] " , " (1.5,2) [1,2] " , " (8.9,8.4) [8,9] " , " (1.85,1.85) [1,2] " , " (3,3) [2,3] " , " (0,0) [0,1] " , " (100.612,84.4333) [8400,44800] " , " (1.5,1.5) [1,2] " , " (1.76667,1.76667) [1,2] "
43 , 11 , 112 , 129 , 147 , 193 , 260 , 132 , " (0,0) [0,1] " , " (3.33333,3.33333) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.08333,3.08333) [3,4] " , " (910.51,883.21) [42000,72800] " , " (2.55,2.83333) [1,3] " , " (430.117,430.117) [50,455] " , " (2,2) [1,2] " , " (3831.35,3601.33) [1000,4000] " , " (4.78333,4.78333) [0,7] " , " (2112.23,2101.69) [2000,2350] " , " (1.6,1.6) [1,2] " , " (22.3183,20.8379) [15,30] " , " (11.66,11.56) [616,1008] " , " (2.28333,2.28333) [2,4] " , " (1.25,1.03571) [1,2] " , " (8.5,8.5) [8,9] " , " (2,2) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (123.013,128.962) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
44 , 20 , 95 , 132 , 180 , 235 , 278 , 131 , " (1,1) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1,1) [1,2] " , " (3.6,3.6) [3,4] " , " (991.41,1018.71) [42000,72800] " , " (2.7,2.42667) [1,3] " , " (166.267,166.267) [50,455] " , " (1.5,1.5) [1,2] " , " (2134.41,2364.32) [1000,4000] " , " (4.68,4.68) [0,7] " , " (2074.89,2084.66) [2000,2350] " , " (1.83333,1.83333) [1,2] " , " (24.5362,26.0167) [15,30] " , " (10.195,10.295) [616,1008] " , " (2,2) [2,4] " , " (1.78571,2) [1,2] " , " (8.4,8.4) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (87.3267,81.3783) [8400,44800] " , " (1,1) [1,2] " , " (1.66667,1.66667) [1,2] "
45 , 20 , 95 , 119 , 177 , 235 , 243 , 119 , " (0,0) [0,1] " , " (3.66667,3.66667) [3,4] " , " (1.33333,1.33333) [1,2] " , " (3.6,3.6) [3,4] " , " (1307.15,1307.15) [42000,72800] " , " (2.9,2.9) [1,3] " , " (188.167,188.167) [50,455] " , " (2,2) [1,2] " , " (1914.33,1914.33) [1000,4000] " , " (5.18,5.18) [0,7] " , " (2106.57,2106.57) [2000,2350] " , " (2,2) [1,2] " , " (27.725,27.725) [15,30] " , " (10.9767,10.9767) [616,1008] " , " (2,2) [2,4] " , " (2,2) [1,2] " , " (8.05,8.05) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (193.955,193.955) [8400,44800] " , " (1.5,1.5) [1,2] " , " (1.91667,1.91667) [1,2] "
46 , 66 , 92 , 136 , 185 , 235 , 285 , 136 , " (0,0) [0,1] " , " (3.71667,3.71667) [3,4] " , " (1.66667,1.66667) [1,2] " , " (3.06667,3.06667) [3,4] " , " (918.135,918.135) [42000,72800] " , " (2.53333,2.53333) [1,3] " , " (366.387,366.387) [50,455] " , " (2,2) [1,2] " , " (2965.09,2965.09) [1000,4000] " , " (6.69,6.69) [0,7] " , " (2250.92,2250.92) [2000,2350] " , " (2,2) [1,2] " , " (21.118,21.118) [15,30] " , " (11.765,11.765) [616,1008] " , " (2.42667,2.42667) [2,4] " , " (1.23143,1.23143) [1,2] " , " (8.55,8.55) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (143.455,143.455) [8400,44800] " , " (2,2) [1,2] " , " (1.95,1.95) [1,2] "
47 , 20 , 92 , 132 , 177 , 221 , 260 , 131 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (2,2) [1,2] " , " (3.6,3.6) [3,4] " , " (1386.41,1413.71) [42000,72800] " , " (2.28333,2.01) [1,3] " , " (196.828,196.828) [50,455] " , " (2,2) [1,2] " , " (1607.67,1837.59) [1000,4000] " , " (5.58,5.58) [0,7] " , " (2184.07,2193.85) [2000,2350] " , " (1,1) [1,2] " , " (26.8712,28.3517) [15,30] " , " (10.495,10.595) [616,1008] " , " (2.5,2.5) [2,4] " , " (1.78571,2) [1,2] " , " (8.8,8.8) [8,9] " , " (1.75,1.75) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (173.482,167.533) [8400,44800] " , " (1.25,1.25) [1,2] " , " (1.86667,1.86667) [1,2] "
48 , 29 , 96 , 118 , 152 , 235 , 248 , 132 , " (0,0) [0,1] " , " (3.21667,3.21667) [3,4] " , " (1.07143,1.07143) [1,2] " , " (3.26667,3.26667) [3,4] " , " (783.55,781.45) [42000,72800] " , " (2.21667,2.21667) [1,3] " , " (439.057,439.057) [50,455] " , " (1.6,1.6) [1,2] " , " (3375.46,3144.84) [1000,4000] " , " (3.85571,3.85571) [0,7] " , " (2082.75,2083.03) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (26.2633,27.6662) [15,30] " , " (31.9967,31.6967) [616,1008] " , " (2.83333,2.83333) [2,4] " , " (1.5,1.78571) [1,2] " , " (8.5,8) [8,9] " , " (1,1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (193.398,183.168) [8400,44800] " , " (2,2) [1,2] " , " (1.5,1.5) [1,2] "
49 , 18 , 92 , 134 , 137 , 221 , 246 , 125 , " (0,0) [0,1] " , " (3.3,3.3) [3,4] " , " (1,1) [1,2] " , " (3.51667,3.51667) [3,4] " , " (938.417,938.417) [42000,72800] " , " (2.26667,2.16667) [1,3] " , " (264.255,264.255) [50,455] " , " (2,2) [1,2] " , " (2078.72,2078.86) [1000,4000] " , " (4.18,4.18) [0,7] " , " (2124.61,2122.81) [2000,2350] " , " (1,1) [1,2] " , " (25.4937,25.3537) [15,30] " , " (10.23,10.23) [616,1008] " , " (3.01961,3.01961) [2,4] " , " (1,1) [1,2] " , " (8.05,8.05) [8,9] " , " (1.85,1.85) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (138.581,136.211) [8400,44800] " , " (2,2) [1,2] " , " (1.96667,1.96667) [1,2] "
50 , 66 , 110 , 129 , 153 , 198 , 259 , 131 , " (0.3,0.3) [0,1] " , " (3.16667,3.16667) [3,4] " , " (2,2) [1,2] " , " (3.5,3.5) [3,4] " , " (1091.63,1091.63) [42000,72800] " , " (2.81667,2.82667) [1,3] " , " (288.41,288.41) [50,455] " , " (1.5,1.5) [1,2] " , " (3589.27,3589.17) [1000,4000] " , " (4.8,4.8) [0,7] " , " (2321.9,2321.13) [2000,2350] " , " (1.33333,1.33333) [1,2] " , " (27.7868,27.7868) [15,30] " , " (14.9733,14.9733) [616,1008] " , " (2.51294,2.51294) [2,4] " , " (1.73143,1.73143) [1,2] " , " (8.6,8.6) [8,9] " , " (1.5,1.5) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (257.844,257.844) [8400,44800] " , " (2,2) [1,2] " , " (1.6,1.6) [1,2] "
51 , 5 , 92 , 132 , 152 , 235 , 294 , 125 , " (0,0) [0,1] " , " (3.16667,3.16667) [3,4] " , " (1.07143,1.07143) [1,2] " , " (3.76667,3.76667) [3,4] " , " (805.01,808.01) [42000,72800] " , " (2.48333,2.58333) [1,3] " , " (267.537,267.537) [50,455] " , " (2,2) [1,2] " , " (2289.8,2287.35) [1000,4000] " , " (4.26571,4.26571) [0,7] " , " (2177.41,2177.03) [2000,2350] " , " (1.66667,1.66667) [1,2] " , " (28.2512,26.4283) [15,30] " , " (14.1767,14.0767) [616,1008] " , " (3,3) [2,4] " , " (1.78571,1.5) [1,2] " , " (8.25,8.75) [8,9] " , " (1.1,1.1) [1,2] " , " (2,2) [2,3] " , " (0,0) [0,1] " , " (190.942,202.892) [8400,44800] " , " (2,2) [1,2] " , " (1.2,1.2) [1,2] "
