DIA  , DESAYUNO  , COLACION_MATUTINA  , COMIDA_ENTRADA  , COMIDA_PRINCIPAL  , COLACION_VESPERTINA  , CENA  , EQUIVALENTEAZUCARESCONGRASA , EQUIVALENTEAZUCARESSINGRASA , EQUIVALENTEACEITESYGRASASCONPROTEINAS , EQUIVALENTEACEITESYGRASAS , CALCIOMG , EQUIVALENTEVERDURAS , COLESTEROLMG , EQUIVALENTEAOAMUYBAJOSENGRASA , SODIOMG , AGSATURADOSG , KILOCALORIAS , EQUIVALENTEAOAALTOENGRASA , FIBRAG , HIERROMG , EQUIVALENTEFRUTAS , EQUIVALENTELEGUMINOSAS , EQUIVALENTECEREALESSINGRASA , EQUIVALENTELECHEENTERA , EQUIVALENTECEREALESCONGRASA , EQUIVALENTELECHECONAZUCAR , ACIDOFOLICOG , EQUIVALENTEAOABAJOENGRASA , EQUIVALENTEAOAMODERADOSENGRASA
11 , 2 , 96 , 125 , 163 , 192 , 260 , " (0) [0,1] " , " (3.16667) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (939.1) [42000,72800] " , " (2.46667) [1,3] " , " (436.867) [50,455] " , " (1) [1,2] " , " (1976.67) [1000,4000] " , " (4.6) [0,7] " , " (2114.67) [2000,2350] " , " (1) [1,2] " , " (26.6625) [15,30] " , " (19.3) [616,1008] " , " (2.95833) [2,4] " , " (1.5) [1,2] " , " (8) [8,9] " , " (1.9) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (261.164) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
12 , 60 , 88 , 121 , 180 , 216 , 280 , " (1) [0,1] " , " (3.06667) [3,4] " , " (2) [1,2] " , " (3.9) [3,4] " , " (1215.75) [42000,72800] " , " (2.45) [1,3] " , " (231.85) [50,455] " , " (1.5) [1,2] " , " (3244.96) [1000,4000] " , " (4.42) [0,7] " , " (2198.31) [2000,2350] " , " (1.06667) [1,2] " , " (24.0526) [15,30] " , " (11.0417) [616,1008] " , " (2.33333) [2,4] " , " (1.32143) [1,2] " , " (9) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (169.845) [8400,44800] " , " (1.25) [1,2] " , " (2) [1,2] "
13 , 32 , 84 , 136 , 175 , 192 , 286 , " (0) [0,1] " , " (3.83333) [3,4] " , " (1.33333) [1,2] " , " (3.66667) [3,4] " , " (922.333) [42000,72800] " , " (2.9) [1,3] " , " (261.392) [50,455] " , " (1.5) [1,2] " , " (3947.32) [1000,4000] " , " (5.9) [0,7] " , " (2342.07) [2000,2350] " , " (1.66667) [1,2] " , " (25.9357) [15,30] " , " (15.4717) [616,1008] " , " (3) [2,4] " , " (1.57143) [1,2] " , " (8.98333) [8,9] " , " (1.15) [1,2] " , " (3) [2,3] " , " (0) [0,1] " , " (219.748) [8400,44800] " , " (1.5) [1,2] " , " (2) [1,2] "
14 , 11 , 107 , 126 , 151 , 234 , 275 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.76667) [3,4] " , " (775.4) [42000,72800] " , " (2.10333) [1,3] " , " (445.292) [50,455] " , " (2) [1,2] " , " (2863.84) [1000,4000] " , " (5.74) [0,7] " , " (2123.9) [2000,2350] " , " (1) [1,2] " , " (29.7908) [15,30] " , " (12.0667) [616,1008] " , " (3.625) [2,4] " , " (1.75) [1,2] " , " (8.7) [8,9] " , " (1.05) [1,2] " , " (2.33333) [2,3] " , " (0) [0,1] " , " (202.738) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
15 , 31 , 95 , 131 , 145 , 221 , 242 , " (0.333333) [0,1] " , " (3.16667) [3,4] " , " (1) [1,2] " , " (3.6) [3,4] " , " (1198.38) [42000,72800] " , " (2.585) [1,3] " , " (182.018) [50,455] " , " (1.35) [1,2] " , " (3467.51) [1000,4000] " , " (2.68) [0,7] " , " (2181.85) [2000,2350] " , " (2) [1,2] " , " (25.655) [15,30] " , " (11.7217) [616,1008] " , " (3.7) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (274.017) [8400,44800] " , " (1.75) [1,2] " , " (2) [1,2] "
16 , 29 , 96 , 134 , 152 , 235 , 248 , " (0) [0,1] " , " (3.21667) [3,4] " , " (1.07143) [1,2] " , " (3.26667) [3,4] " , " (784.45) [42000,72800] " , " (2.41667) [1,3] " , " (439.057) [50,455] " , " (1.6) [1,2] " , " (3142.26) [1000,4000] " , " (3.85571) [0,7] " , " (2084.45) [2000,2350] " , " (1.66667) [1,2] " , " (25.9833) [15,30] " , " (31.5967) [616,1008] " , " (2.83333) [2,4] " , " (1.5) [1,2] " , " (8.5) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (197.488) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
17 , 66 , 110 , 129 , 153 , 198 , 259 , " (0.3) [0,1] " , " (3.16667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (1091.63) [42000,72800] " , " (2.81667) [1,3] " , " (288.41) [50,455] " , " (1.5) [1,2] " , " (3589.27) [1000,4000] " , " (4.8) [0,7] " , " (2321.9) [2000,2350] " , " (1.33333) [1,2] " , " (27.7868) [15,30] " , " (14.9733) [616,1008] " , " (2.51294) [2,4] " , " (1.73143) [1,2] " , " (8.6) [8,9] " , " (1.5) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (257.844) [8400,44800] " , " (2) [1,2] " , " (1.6) [1,2] "
18 , 8 , 86 , 128 , 184 , 235 , 247 , " (0) [0,1] " , " (3.21667) [3,4] " , " (2) [1,2] " , " (3.5) [3,4] " , " (888.55) [42000,72800] " , " (2.91667) [1,3] " , " (452.85) [50,455] " , " (2) [1,2] " , " (2805.51) [1000,4000] " , " (3.09) [0,7] " , " (2178.48) [2000,2350] " , " (2) [1,2] " , " (26.7059) [15,30] " , " (11.86) [616,1008] " , " (2.18529) [2,4] " , " (1.78571) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (206.371) [8400,44800] " , " (1.5) [1,2] " , " (1.5) [1,2] "
19 , 19 , 96 , 133 , 185 , 235 , 295 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1) [1,2] " , " (3.86667) [3,4] " , " (765.11) [42000,72800] " , " (2.96667) [1,3] " , " (450.217) [50,455] " , " (1) [1,2] " , " (2058.52) [1000,4000] " , " (5.34) [0,7] " , " (2066.83) [2000,2350] " , " (1) [1,2] " , " (29.9517) [15,30] " , " (11.12) [616,1008] " , " (2.76667) [2,4] " , " (1.5) [1,2] " , " (8.4) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (290.36) [8400,44800] " , " (2) [1,2] " , " (1.5) [1,2] "
20 , 20 , 95 , 119 , 177 , 235 , 243 , " (0) [0,1] " , " (3.66667) [3,4] " , " (1.33333) [1,2] " , " (3.6) [3,4] " , " (1307.15) [42000,72800] " , " (2.9) [1,3] " , " (188.167) [50,455] " , " (2) [1,2] " , " (1914.33) [1000,4000] " , " (5.18) [0,7] " , " (2106.57) [2000,2350] " , " (2) [1,2] " , " (27.725) [15,30] " , " (10.9767) [616,1008] " , " (2) [2,4] " , " (2) [1,2] " , " (8.05) [8,9] " , " (1) [1,2] " , " (2) [2,3] " , " (0) [0,1] " , " (193.955) [8400,44800] " , " (1.5) [1,2] " , " (1.91667) [1,2] "
